Model type,Trial,F1_macro_validation_set,Precision validation set,recall validation set,roc_auc validation set,accuracy validation set,mcc validation set,Batch size,Learning rate,Protein layers,Compound layers,Final head layers,Epochs,batch_norm,dropout,best epoch
gat,0,0.8238846024823885,0.8308525033829499,0.8170326014637392,0.9288112845754845,0.8744319540779718,0.726391441746072,16,0.0001430528340392,"[2560, 1280]","[2560, 1280, 640]","[1280, 640]",115,False,0.0460524699725375,4
gat,1,0.7945113788487282,0.7993265993265993,0.7897538256819694,0.8992597329612619,0.853145180578809,0.6802939016239723,64,0.0005245835639159,"[2560, 1280]","[2560, 1280, 640]","[2560, 1280]",151,True,0.3124517510477999,4
gat,2,0.7766457680250783,0.9447092469018112,0.6593479707252162,0.8987914139358822,0.8636689787132265,0.7058229477337152,64,0.0048942592286305,"[2560, 1280, 640]",[1280],"[2560, 640]",154,False,0.2965884582811106,8
gat,3,0.7976923076923077,0.9453053783044668,0.6899534264803726,0.8988453265239499,0.8741927768476441,0.7281271046336477,16,0.0005482647324817,"[1280, 640]","[2560, 640]","[2560, 1280, 640]",135,False,0.1287710320770415,7
gat,4,0.8166421207658321,0.9142621599340478,0.737857618097139,0.9126812344939196,0.8808897392968189,0.7391178424912122,64,8.351305050092099e-05,"[2560, 1280]","[2560, 1280]","[1280, 640]",116,False,0.3481556341177031,5
gat,5,0.7857978930940305,0.95,0.6699933466400533,0.9113393824747816,0.8686917005501076,0.7171889119535977,32,0.0006340966463961,"[2560, 1280, 640]","[2560, 1280]","[2560, 1280, 640]",158,True,0.103047863722637,5
gat,6,0.8060941828254847,0.8404332129963898,0.7744510978043913,0.9210458843329026,0.8660607510165033,0.7054260201508735,64,0.0001182435614938,"[1280, 640]","[2560, 1280]",[640],188,False,0.1182999058527596,6
gat,7,0.7867195958137856,0.8596214511041009,0.7252162341982701,0.858644672318296,0.8586462568763453,0.6876614721305815,16,0.0003852169673817,[2560],"[1280, 640]",[640],196,True,0.0955034776852105,0
gat,8,0.7609087630724847,0.8307086614173228,0.7019294743845642,0.8751537254095245,0.841425496292753,0.6486415036038538,16,0.0017918222595957,"[2560, 1280]","[1280, 640]","[2560, 1280]",181,False,0.4855230702550644,1
gat,9,0.8260869565217391,0.9069212410501192,0.7584830339321357,0.8847348867115159,0.885194929442717,0.7480130555845338,64,0.00366160360854,[1280],[1280],[1280],125,False,0.2780173768825734,0
gat,10,0.8075046904315197,0.9259896729776248,0.7159015302727878,0.8974581332729115,0.8773020808419039,0.7324393003994286,32,0.004733550153473,[1280],[2560],[1280],80,False,0.2109071849573118,8
gat,11,0.8205312275664034,0.8908807482462977,0.7604790419161677,0.9042942245953698,0.8804113848361635,0.7368497322930875,64,8.303013499507432e-05,[640],[640],"[2560, 1280]",97,False,0.3778809174902279,3
gat,12,0.8082489146164978,0.8858049167327517,0.7431803060545575,0.9139234600254308,0.8732360679263335,0.7207964719140953,64,5.579226516620872e-05,"[2560, 640]",[1280],"[1280, 640]",56,False,0.2272456234379898,2
