Model type,Trial,F1_macro_validation_set,Precision validation set,recall validation set,roc_auc validation set,accuracy validation set,mcc validation set,Batch size,Learning rate,Protein layers,Compound layers,Final head layers,Epochs,batch_norm,dropout,best epoch
gat,0,0.8576655689718259,0.9221085759244688,0.801641586867305,0.9570935844604546,0.9173044217687076,0.8036814915376514,16,0.0001430528340392,"[2560, 1280]","[2560, 1280, 640]","[1280, 640]",115,False,0.0460524699725375,3
gat,1,0.8564459930313589,0.8728693181818182,0.8406292749658003,0.9595569774615152,0.9124149659863946,0.7937527665887029,64,0.0005245835639159,"[2560, 1280]","[2560, 1280, 640]","[2560, 1280]",151,True,0.3124517510477999,1
gat,2,0.8535127055306427,0.940691927512356,0.7811217510259918,0.9587185461677318,0.9166666666666666,0.8026944552649741,64,0.0048942592286305,"[2560, 1280, 640]",[1280],"[2560, 640]",154,False,0.2965884582811106,4
gat,3,0.8362976406533575,0.8909512761020881,0.7879616963064295,0.953573185726667,0.904124149659864,0.7717689204895314,16,0.0005482647324817,"[1280, 640]","[2560, 640]","[2560, 1280, 640]",135,False,0.1287710320770415,3
gat,4,0.8468279004556607,0.8684399712437095,0.826265389876881,0.955205109747154,0.9071003401360545,0.7807183632092806,64,8.351305050092099e-05,"[2560, 1280]","[2560, 1280]","[1280, 640]",116,False,0.3481556341177031,5
gat,5,0.8597057768209544,0.9041509433962264,0.8194254445964432,0.950766107628079,0.9168792517006804,0.8028106032572034,32,0.0006340966463961,"[2560, 1280, 640]","[2560, 1280]","[2560, 1280, 640]",158,True,0.103047863722637,1
gat,6,0.8448979591836735,0.8403247631935047,0.8495212038303693,0.9624682792790588,0.903061224489796,0.7744243316297015,64,0.0001182435614938,"[1280, 640]","[2560, 1280]",[640],188,False,0.1182999058527596,4
gat,7,0.8644716692189893,0.9817391304347826,0.7722298221614227,0.9536978744268751,0.9247448979591836,0.8246333445203163,16,0.0003852169673817,[2560],"[1280, 640]",[640],196,True,0.0955034776852105,1
gat,8,0.8339594290007513,0.925,0.759233926128591,0.949111503344864,0.9060374149659864,0.7766153833701621,16,0.0017918222595957,"[2560, 1280]","[1280, 640]","[2560, 1280]",181,False,0.4855230702550644,0
gat,9,0.8601222581805106,0.9067475360121304,0.8180574555403557,0.957827159097718,0.9173044217687076,0.8037827971018575,64,0.00366160360854,[1280],[1280],[1280],125,False,0.2780173768825734,9
gat,10,0.8712041884816754,0.8895224518888097,0.853625170998632,0.9652451873537388,0.9215561224489796,0.8151997480239283,32,0.0002260771103948,[2560],"[1280, 640]",[640],80,True,0.0019190721168773,9
gat,11,0.8643533123028391,0.8864126527677929,0.8433652530779754,0.9612623222394848,0.9177295918367347,0.8058808087085862,32,0.0002895150413084,[2560],"[1280, 640]",[640],66,True,0.0023812272829831,12
