Model type,Trial,F1_macro_validation_set,Precision validation set,recall validation set,roc_auc validation set,accuracy validation set,mcc validation set,F1_macro_test_set,Precision test set,recall test set,roc_auc test set,accuracy test set,mcc test set,Batch size,Learning rate,num_heads_gat,num_heads_attention,activation_attention,dropout_gat,num_heads_descriptors_cross_attention,prediction_layers,dropout_attention,patience,best_epoch
gat,0,0.8091637010676156,0.9099549774887444,0.7284741690028034,0.9057291788875548,0.8860860329261816,0.7385548806098691,0.7919166403536471,0.8698265895953757,0.7268160741885626,0.918173244897451,0.8722703191626825,0.7067175203314563,64,0.0002212523193572,4,8,LeakyReLU(negative_slope=0.01),0.5,5,[256],0.2,5,4
gat,1,0.757933750289553,0.8989010989010989,0.6551862234681618,0.8834540674231124,0.8612586298459904,0.6803284606311806,0.7710295550503411,0.8768776163506525,0.6879829984544049,0.8808556178374451,0.8633544385579532,0.6857584104686513,16,0.0006980458015173,2,2,Tanh(),0.2,1,"[2048, 1024]",0.2,5,0
gat,2,0.7560296846011132,0.8980716253443526,0.6527833400080096,0.8853173162313147,0.8603292618162507,0.6781033508187504,0.7485948984003459,0.8496074582924436,0.6690494590417311,0.8897569295978603,0.8497221863289831,0.6529156925640056,64,0.0022761206207631,2,4,Tanh(),0.4,1,"[2048, 1024]",0.2,5,2
gat,3,0.0008006405124099,1.0,0.000400480576692,0.500200240288346,0.6686139139670738,0.0163630456679064,0.0011585248117397,1.0,0.0005795981452859,0.5002897990726429,0.6657836929835896,0.0196430506939351,32,0.0029832083757129,1,8,LeakyReLU(negative_slope=0.01),0.2,5,[512],0.4,5,5
gat,4,0.7702609097206189,0.9094874591057798,0.6680016019223067,0.8885055313645491,0.8678969729155602,0.6965366859028513,0.775390625,0.8844059405940594,0.6903013910355487,0.8998619305175358,0.8662617909290606,0.6928384049370268,32,6.800156234363715e-05,4,2,Tanh(),0.1,5,"[2048, 1024, 512]",0.4,5,0
gat,5,0.7700559701492536,0.9218313791178112,0.6611934321185422,0.893198511500792,0.8690918746680828,0.7003857818243975,0.7770929059733273,0.9252735521750732,0.669822256568779,0.8934786713283567,0.8714950251970539,0.7078127313833432,32,0.0004195536729807,8,1,ELU(alpha=1.0),0.2,1,[1024],0.4,5,0
gat,6,0.7872242647058824,0.9234501347708894,0.6860232278734482,0.8928761783256093,0.8770578863515667,0.7187619932487505,0.7753140360458766,0.8919326463935662,0.6856646058732612,0.8937193172676664,0.8671016927251582,0.6951464026140316,16,0.004130375066524,8,8,Tanh(),0.4,1,"[1024, 512]",0.3,5,9
gat,7,0.4976525821596244,0.3315145062549907,0.9975971165398478,0.4999902166611851,0.3323154540626659,-0.0001886488884312,0.501066718386346,0.334476954945624,0.9982612055641422,0.5001498223510868,0.3351854244734462,0.0032141619275536,32,0.002103180900628,4,8,ELU(alpha=1.0),0.2,1,[128],0.5,5,5
gat,8,0.8045078196872124,0.9448946515397084,0.7004405286343612,0.897228889165509,0.8871481678173128,0.7437359147498138,0.7804090419806243,0.8811375789985416,0.7003477588871716,0.8990113712707756,0.8682000258431322,0.697259347411498,64,0.0004254413653794,8,8,Tanh(),0.2,5,"[2048, 1024, 1024]",0.2,5,1
gat,9,0.7943548387096774,0.9013726487036096,0.71005206247497,0.9154232347933706,0.8781200212426978,0.7196715653829868,0.7803079592279332,0.889273356401384,0.6951313755795981,0.90175364164519,0.8691045354696989,0.699672346672915,16,0.0001962334487149,1,8,ReLU(),0.5,1,[256],0.2,5,7
