Model type,Trial,F1_macro_validation_set,Precision validation set,recall validation set,roc_auc validation set,accuracy validation set,mcc validation set,Batch size,Learning rate,Protein layers,Compound layers,Final head layers,Epochs,batch_norm,dropout,best epoch
gat,0,0.759776536312849,0.6938775510204082,0.8395061728395061,0.9402422767055004,0.8537414965986394,0.6621521635857293,64,0.0005469407009128,"[2560, 1280]","[2560, 1280]","[2560, 1280, 1280]",141,True,0.8263408005068332,3
gat,1,0.7482993197278912,0.8333333333333334,0.6790123456790124,0.9232017620124036,0.8741496598639455,0.671763002287614,64,0.001077008435027,"[1280, 640]","[2560, 1280]","[2560, 1280, 1280]",149,False,0.321980606468308,7
gat,2,0.7633587786259541,1.0,0.6172839506172839,0.9113777314090304,0.8945578231292517,0.7340698404523982,16,0.0010702689719742,"[2560, 2560, 2560, 1280]","[2560, 640]","[2560, 1280]",155,False,0.8878567926762226,5
gat,3,0.7887323943661971,0.918032786885246,0.691358024691358,0.9473135106937924,0.8979591836734694,0.7358518273574057,16,0.0012549838986353,"[2560, 1280, 1280]","[2560, 2560, 2560, 1280, 640]","[2560, 2560, 2560, 1280, 640]",128,True,0.7922993018445906,3
gat,4,0.8050314465408805,0.8205128205128205,0.7901234567901234,0.939488784559207,0.8945578231292517,0.7330507328371075,16,0.0005047916994763,"[2560, 1280, 1280, 640]","[2560, 1280, 1280, 1280]",[2560],106,False,0.2364623961980289,11
gat,5,0.8251748251748251,0.9516129032258064,0.7283950617283951,0.9585579319538632,0.9149659863945578,0.7823111881129652,32,0.0003437349738045,"[2560, 640]","[2560, 1280]",[2560],193,False,0.5874937474795024,5
gat,6,0.7538461538461538,1.0,0.6049382716049383,0.9571089085956066,0.891156462585034,0.7252075054258097,64,0.0006583332581199,"[2560, 640]","[2560, 1280, 640]","[2560, 1280]",187,False,0.6939847028582425,2
gat,7,0.603448275862069,1.0,0.4320987654320987,0.8596765779864373,0.8435374149659864,0.5961168973912376,64,0.0026648741705053,"[2560, 1280, 1280, 1280]","[2560, 1280]","[2560, 1280, 1280, 1280, 640]",173,True,0.9502516250691508,0
gat,8,0.7891156462585033,0.8787878787878788,0.7160493827160493,0.9320118240306032,0.8945578231292517,0.7265020052456402,64,0.0002500386003201,[640],"[2560, 1280]",[2560],147,False,0.0406161245584595,7
gat,9,0.7971014492753624,0.9649122807017544,0.6790123456790124,0.9396047064278676,0.9047619047619048,0.7567472672955914,16,0.0002209430101492,"[2560, 2560, 2560, 1280, 640]","[2560, 1280]","[2560, 1280, 1280, 1280]",128,False,0.7792452928594803,2
gat,10,0.7945205479452054,0.8923076923076924,0.7160493827160493,0.944995073320582,0.8979591836734694,0.7355234997852734,32,6.19353043877805e-05,"[2560, 640]","[2560, 1280, 1280, 640]","[2560, 2560, 2560, 1280]",80,True,0.5986288419761141,2
gat,11,0.7814569536423841,0.8428571428571429,0.7283950617283951,0.92018779342723,0.8877551020408163,0.7098862200999124,32,0.0001492282252762,"[2560, 2560, 2560, 1280, 640]",[2560],"[2560, 1280]",196,False,0.5304606813671966,4
gat,12,0.7857142857142857,0.9322033898305084,0.6790123456790124,0.948356807511737,0.8979591836734694,0.7364946624296539,32,0.0002199143667916,[1280],"[1280, 640]","[2560, 1280, 1280, 1280]",63,False,0.6831718950214709,5
gat,13,0.0,0.0,0.0,0.6692169477771982,0.7244897959183674,0.0,32,0.0002383281694217,"[2560, 2560, 2560, 1280, 640]","[2560, 1280, 1280, 1280, 1280]","[2560, 1280, 1280, 640]",103,False,0.9997333002142492,25
gat,14,0.811188811188811,0.935483870967742,0.7160493827160493,0.9492841824610212,0.9081632653061223,0.7636484577246813,16,0.0001115690030926,"[2560, 1280]","[2560, 1280]","[2560, 1280, 1280, 1280]",103,False,0.430043187302991,2
gat,15,0.7777777777777778,0.8888888888888888,0.691358024691358,0.9542688228134238,0.891156462585034,0.7169815563477808,32,6.227124506804237e-05,"[2560, 1280]","[2560, 1280, 1280, 1280, 640]","[1280, 640]",99,False,0.4131131639936795,0
gat,16,0.8345323741007193,1.0,0.7160493827160493,0.9568770648582854,0.9217687074829932,0.803906032429645,16,9.931324360403925e-05,"[2560, 1280, 640]","[2560, 1280]","[2560, 640]",51,False,0.4269733006391377,7
gat,17,0.7272727272727271,0.6415094339622641,0.8395061728395061,0.9340984176664928,0.826530612244898,0.6151332444836873,16,0.0001018364361409,"[2560, 1280, 640]","[2560, 1280, 1280]","[2560, 640]",55,False,0.5772188131596111,5
gat,18,0.8280254777070064,0.8552631578947368,0.8024691358024691,0.9565872601866342,0.9081632653061223,0.7661901043838819,32,5.007161039120778e-05,"[2560, 1280, 640]",[1280],"[2560, 1280, 640]",169,True,0.4429889011318438,5
gat,19,0.7746478873239437,0.9016393442622952,0.6790123456790124,0.9316060974902916,0.891156462585034,0.717077164748443,32,0.0003457994111605,"[2560, 1280]",[640],"[2560, 1280]",78,False,0.6451584598431621,5
gat,20,0.7591240875912408,0.9285714285714286,0.6419753086419753,0.9230858401437432,0.8877551020408163,0.7090460672249983,16,0.0001306284148005,"[2560, 1280, 1280, 1280, 640]","[2560, 1280]",[640],80,False,0.5189436035599231,0
gat,21,0.825,0.8354430379746836,0.8148148148148148,0.9599489943777896,0.9047619047619048,0.7597054986277926,32,5.036603627901287e-05,"[2560, 1280, 640]",[1280],"[2560, 1280, 640]",172,True,0.4409633368331912,7
gat,22,0.8789808917197451,0.9078947368421052,0.8518518518518519,0.969396626673622,0.935374149659864,0.8357469642538405,32,7.669223364137012e-05,"[2560, 1280, 640]",[1280],"[2560, 1280, 640]",170,True,0.369809352500678,16
gat,23,0.7816091954022988,0.7311827956989247,0.8395061728395061,0.9464440966788384,0.8707482993197279,0.6937633793913986,32,8.204815239149356e-05,"[2560, 1280]","[2560, 2560, 2560, 1280]","[2560, 1280]",187,True,0.3376465588441578,1
gat,24,0.8104575163398693,0.8611111111111112,0.7654320987654321,0.9447052686489308,0.9013605442176872,0.7464599664841125,32,8.687879533689787e-05,"[2560, 1280, 1280, 1280, 1280]",[1280],"[2560, 1280, 1280, 1280, 1280]",196,True,0.5295661924461099,9
