Model type,Trial,F1_macro_validation_set,Precision validation set,recall validation set,roc_auc validation set,accuracy validation set,mcc validation set,Batch size,Learning rate,Protein layers,Compound layers,Final head layers,Epochs,batch_norm,dropout,best epoch
gat,0,0.7887067395264117,0.9006760270410816,0.7014985824220332,0.9092398810661262,0.8736727470732372,0.7117136414742204,16,0.0001430528340392,"[2560, 1280]","[2560, 1280, 640]","[1280, 640]",115,False,0.0460524699725375,1
gat,1,0.7929433611884865,0.9287656334964656,0.6917780477926286,0.8991265321315043,0.8785733732643616,0.7250302633938646,64,0.0005245835639159,"[2560, 1280]","[2560, 1280, 640]","[2560, 1280]",151,True,0.3124517510477999,1
gat,2,0.7912240184757505,0.9204728640515852,0.6938031591737546,0.9139557704379914,0.8769398312006534,0.7205895533415203,64,0.0048942592286305,"[2560, 1280, 640]",[1280],"[2560, 640]",154,False,0.2965884582811106,4
gat,3,0.785816962146622,0.9618768328445748,0.6642365330093155,0.8864358064606409,0.8783011162537435,0.7283107762033445,16,0.0005482647324817,"[1280, 640]","[2560, 640]","[2560, 1280, 640]",135,False,0.1287710320770415,0
gat,4,0.8056426332288402,0.900851276915373,0.728635074929121,0.9086420642001416,0.8818404573917779,0.7305046289622589,64,8.351305050092099e-05,"[2560, 1280]","[2560, 1280]","[1280, 640]",116,False,0.3481556341177031,1
gat,5,0.7964642940218656,0.93551912568306,0.6933981368975294,0.9068052628479968,0.8808875578546148,0.7308985261400904,32,0.0006340966463961,"[2560, 1280, 640]","[2560, 1280]","[2560, 1280, 640]",158,True,0.103047863722637,4
gat,6,0.7987588652482269,0.8820362212432697,0.7298501417577967,0.906461571092787,0.8763953171794173,0.7173453087466377,64,0.0001182435614938,"[1280, 640]","[2560, 1280]",[640],188,False,0.1182999058527596,2
gat,7,0.8129464285714285,0.9055196419691696,0.7375455650060754,0.9219278246483588,0.8859243125510482,0.7400895850942255,16,0.0003852169673817,[2560],"[1280, 640]",[640],196,True,0.0955034776852105,7
gat,8,0.7575315840621963,0.9465695203400122,0.631429728635075,0.8960728369074037,0.8641437517016063,0.6947435880883125,16,0.0017918222595957,"[2560, 1280]","[1280, 640]","[2560, 1280]",181,False,0.4855230702550644,1
gat,9,0.7671957671957672,0.9443457667258732,0.6460105305791819,0.903402062549159,0.8682276068608766,0.7035807003970777,64,0.00366160360854,[1280],[1280],[1280],125,False,0.2780173768825734,4
gat,10,0.7956791542174213,0.9197662061636556,0.701093560145808,0.9051410340383976,0.8789817587802886,0.7251570307713381,32,0.0002260771103948,[2560],"[1280, 640]",[640],80,True,0.0019190721168773,0
gat,11,0.8129466162253047,0.8449104412407165,0.7833130822195221,0.9119247626899158,0.8788456302749795,0.7246784444021221,32,0.0008735026348768,[2560],[2560],"[2560, 1280, 640]",199,True,0.1628275795662704,8
gat,12,0.7860886136255361,0.9543088490456912,0.6682867557715675,0.9165509193225024,0.8777566022325075,0.7260952643787912,32,0.0002608898083333,"[2560, 1280, 640]",[640],"[2560, 1280]",174,True,0.2043455178150222,3
gat,13,0.7720885925220291,0.9369942196531792,0.6565411097610369,0.8991447195168831,0.8697250204192758,0.7060258538791163,16,0.0010771629581606,[640],"[2560, 1280]",[2560],161,True,0.0655546746120692,0
