Model type,Trial,F1_macro_validation_set,Precision validation set,recall validation set,roc_auc validation set,accuracy validation set,mcc validation set,Batch size,Learning rate,Protein layers,Compound layers,Final head layers,Epochs,batch_norm,dropout,best epoch
gat,1,0.8025061291201306,0.9334600760456274,0.7037744863831821,0.923699863431002,0.8967530618057533,0.7478875401664117,64,0.0005469407009128,"[2560, 1280]","[2560, 1280]","[2560, 1280, 1280]",141,True,0.8263408005068332,0
gat,2,0.8299249288118044,0.9056497175141244,0.7658862876254181,0.9275376374135272,0.906436912560524,0.7711328125413027,64,0.001077008435027,"[1280, 640]","[2560, 1280]","[2560, 1280, 1280]",149,False,0.321980606468308,4
gat,3,0.7393393393393394,0.9951495553759094,0.5881509794553272,0.9010147631968796,0.8763884933067502,0.7047198969731845,16,0.0010702689719742,"[2560, 2560, 2560, 1280]","[2560, 640]","[2560, 1280]",155,False,0.8878567926762226,3
gat,4,0.7865837165269136,0.9064837905236908,0.694696607740086,0.9191618449735892,0.887638849330675,0.7237413155124518,16,0.0012549838986353,"[2560, 1280, 1280]","[2560, 2560, 2560, 1280, 640]","[2560, 2560, 2560, 1280, 640]",128,True,0.7922993018445906,4
gat,5,0.8285017610403684,0.9568210262828536,0.7305303392259914,0.9459364058982996,0.9098547422386783,0.7817198087311031,16,0.0005047916994763,"[2560, 1280, 1280, 640]","[2560, 1280, 1280, 1280]",[2560],106,False,0.2364623961980289,7
gat,6,0.8302573433844554,0.9104903078677308,0.7630195891065457,0.931514074148174,0.9070065508402164,0.7725793533058185,32,0.0003437349738045,"[2560, 640]","[2560, 1280]",[2560],193,False,0.5874937474795024,1
gat,7,0.8289370592844084,0.9141705069124424,0.7582417582417582,0.9448319020681348,0.9067217317003704,0.7719060082404443,64,0.0006583332581199,"[2560, 640]","[2560, 1280, 640]","[2560, 1280]",187,False,0.6939847028582425,5
gat,8,0.7532003572491811,0.999210110584518,0.6043956043956044,0.8612763739123261,0.8819424665337511,0.7188897118170642,64,0.0026648741705053,"[2560, 1280, 1280, 1280]","[2560, 1280]","[2560, 1280, 1280, 1280, 640]",173,True,0.9502516250691508,1
gat,9,0.8120097376251014,0.935785536159601,0.7171524128045867,0.935664457271274,0.9010253489034464,0.7585969487767678,64,0.0002500386003201,[640],"[2560, 1280]",[2560],147,False,0.0406161245584595,2
gat,10,0.7831531018782015,0.9683321604503872,0.6574295269947444,0.9249406066866176,0.8914839077185986,0.7380913968506879,16,0.0002209430101492,"[2560, 2560, 2560, 1280, 640]","[2560, 1280]","[2560, 1280, 1280, 1280]",128,False,0.7792452928594803,2
gat,11,0.8270756213643575,0.92599171107164,0.7472527472527473,0.9488217155660064,0.9068641412702934,0.7725667569761325,32,7.978138354884579e-05,"[2560, 1280, 1280, 640]","[2560, 1280, 1280, 1280]","[2560, 2560, 2560, 1280]",80,True,0.3703634101922895,9
gat,12,0.8317685866531337,0.8869047619047619,0.7830864787386527,0.9433204247568217,0.9055824551409856,0.769366030407925,32,0.0002895150413084,"[2560, 1280]",[2560],[2560],89,False,0.5909689957279931,3
gat,13,0.8125677139761648,0.9380863039399624,0.716674629718108,0.9371252870551608,0.9014525776132156,0.7597957552877096,32,0.0001223109246102,"[2560, 1280, 1280, 640]","[2560, 1280, 1280, 1280]","[2560, 640]",54,False,0.4581213652354854,1
gat,14,0.8146464646464646,0.8639528655597215,0.7706641184902054,0.9282583832320528,0.8954713756764454,0.7445371387108405,16,0.0003959119315682,[1280],"[2560, 1280, 1280, 1280, 1280]","[2560, 1280]",99,False,0.2460287186055163,2
gat,15,0.8279683377308708,0.924572775486152,0.749641662685141,0.9488538973441988,0.9071489604101396,0.7732245052757746,32,5.00340558717013e-05,"[2560, 640]","[2560, 1280]",[2560],197,False,0.5683440387432248,2
gat,16,0.8248348745046233,0.9225768321513004,0.745819397993311,0.9428847106213536,0.9055824551409856,0.7692637696140795,16,6.227124506804237e-05,"[2560, 1280, 1280, 1280, 640]","[2560, 1280, 1280, 1280, 640]","[1280, 640]",106,False,0.2019434229572456,6
gat,17,0.8260078023407023,0.906392694063927,0.7587195413282369,0.9438382411999072,0.9047279977214469,0.7668270018768092,32,0.0001554022459326,"[2560, 1280, 640]","[1280, 640]",[1280],68,False,0.5109888289525569,3
gat,18,0.8224198329291296,0.9431396786155748,0.7290969899665551,0.9506563677221804,0.9061520934206778,0.7716841440043689,16,0.0001086483960948,"[2560, 1280, 1280, 1280, 1280]",[1280],"[2560, 1280, 1280, 1280, 1280]",111,False,0.0943469767544046,10
gat,19,0.8380515174700331,0.8987964989059081,0.7849976110845676,0.9454734051045148,0.9095699230988322,0.7791401939080289,32,5.0076761436588565e-05,[2560],"[2560, 1280]","[2560, 1280, 640]",172,True,0.413078411612185,5
gat,20,0.8375262054507338,0.9274521183981428,0.7634973721930244,0.9470708620461192,0.9117060666476788,0.784623935241078,16,0.0002019504419622,[2560],"[2560, 1280]","[2560, 1280, 640]",167,True,0.414103164443768,13
gat,21,0.8125165738530893,0.9129916567342072,0.7319636884854276,0.9344632627069316,0.8993164340643691,0.7533280272074306,16,0.0001778237678765,[2560],"[2560, 1280, 1280, 640]",[640],162,True,0.241596794162328,3
gat,22,0.8282882400214305,0.9426829268292682,0.7386526516961299,0.9458893448943464,0.9087154656792936,0.777947789050376,16,8.518049489530367e-05,[2560],"[2560, 2560, 2560, 1280]","[2560, 1280, 640]",170,True,0.4046321806191255,5
gat,23,0.8201251303441085,0.902467010900746,0.7515527950310559,0.9462862858030764,0.901737396753062,0.7592710427766208,16,0.0001485626044911,[2560],"[2560, 1280]","[2560, 1280, 640]",177,True,0.3431320094398595,9
gat,24,0.8089188488462535,0.8843537414965986,0.7453416149068323,0.9362574453076982,0.8950441469666761,0.7424182979472139,16,0.0002116732754921,"[2560, 1280]","[2560, 1280, 1280]","[2560, 1280]",134,True,0.4367152984334388,8
gat,25,0.832953105196451,0.8871490280777538,0.7849976110845676,0.950192252198127,0.9061520934206778,0.77081573999559,32,9.910161196298552e-05,"[2560, 1280]",[640],"[2560, 1280, 640]",120,True,0.1366703158912878,10
gat,26,0.8234370912895632,0.9098265895953758,0.7520305781175346,0.9447605108644036,0.9038735403019084,0.7647040635403174,16,6.182908399534747e-05,[2560],"[2560, 1280]","[2560, 1280]",181,True,0.3032629761862104,4
gat,27,0.8281868566904197,0.925117924528302,0.749641662685141,0.9387293839118444,0.9072913699800628,0.7735966287933854,32,0.0003929108898307,"[2560, 1280, 1280, 640]","[2560, 1280, 1280, 1280]","[2560, 1280]",167,True,0.4090448031174392,8
gat,28,0.8320550119016134,0.931872037914692,0.7515527950310559,0.9513020388804349,0.9095699230988322,0.7794976094752293,16,0.0001371959650293,"[2560, 1280]","[2560, 1280]","[2560, 1280]",118,True,0.2873397070480451,7
gat,29,0.815422477440525,0.9533248081841432,0.7123745819397993,0.9493278515745373,0.9038735403019084,0.7668547538137028,16,0.0001792359696298,"[2560, 2560, 2560, 1280, 640]","[2560, 1280]","[2560, 1280]",112,True,0.1535291947679251,13
gat,30,0.8281961940498525,0.9432234432234432,0.7381748686096512,0.9471347894037035,0.9087154656792936,0.7779806617265203,16,0.000476613971818,"[2560, 2560, 2560, 1280]","[2560, 1280, 1280]","[2560, 1280]",139,True,0.2877733145151741,9
gat,31,0.8209630220803406,0.9261704681872748,0.7372193024366938,0.94644040937936,0.9041583594417544,0.7658572262693192,16,0.0002717466164,"[2560, 1280]","[2560, 1280]","[2560, 1280]",83,True,0.0054403658952483,8
gat,32,0.8237105465742879,0.8896895787139689,0.7668418537983756,0.9488946092322736,0.902164625462831,0.7605198235063904,16,0.0001298916267092,[2560],[2560],"[2560, 1280]",95,True,0.3583708583301424,11
gat,33,0.8370687484260891,0.8849840255591054,0.7940754897276636,0.9467427920813828,0.907861008259755,0.7753068365712957,64,8.162921471553012e-05,"[2560, 1280]","[2560, 1280]","[2560, 1280, 1280, 640]",156,True,0.2841853363415481,11
gat,34,0.8229765013054829,0.9073114565342544,0.7529861442904922,0.9469424741990832,0.903446311592139,0.7636045175614194,16,0.0001247813417274,"[2560, 1280]","[2560, 1280]","[2560, 1280]",117,True,0.2034811159259582,4
gat,35,0.817792068595927,0.9310555216595484,0.7290969899665551,0.9450506315334706,0.9031614924522928,0.7636115878920041,16,0.0001904488959276,"[1280, 640]","[2560, 640]","[2560, 1280]",142,True,0.3457763105338926,13
gat,36,0.8313968499870902,0.904494382022472,0.7692307692307693,0.9222328299308372,0.9070065508402164,0.772573482465265,32,0.0005400593926852,"[2560, 1280]","[2560, 2560, 2560, 1280, 640]","[2560, 1280]",152,True,0.505698040741613,1
gat,37,0.8263312817768264,0.9391727493917276,0.7376970855231725,0.948740921854791,0.9075761891199088,0.7749425993018827,16,0.0007006616109407,"[2560, 1280, 1280]","[2560, 1280]","[2560, 1280]",131,True,0.4574290326378611,4
gat,38,0.8284738639348569,0.9200700116686116,0.7534639273769709,0.9513394550442368,0.9070065508402164,0.7727372952597975,64,0.0003090568586852,"[2560, 1280, 1280, 1280]","[2560, 1280]","[2560, 1280]",185,True,0.3129667190495435,9
gat,39,0.8310263776442935,0.9164746543778802,0.7601528905876732,0.9481450258263616,0.907861008259755,0.7747928192531641,16,0.0002242380695431,"[2560, 1280]","[2560, 1280]","[2560, 1280, 1280]",160,True,0.3859985194968688,9
gat,40,0.8254564983888293,0.9423666462293072,0.7343526039178213,0.9277932499107974,0.9074337795499856,0.7747820502638887,64,9.770016181897654e-05,[640],"[2560, 1280]","[2560, 1280]",122,False,0.2520603194986254,2
gat,41,0.8349080059671806,0.8703991705546915,0.8021978021978022,0.9481422632339566,0.9054400455710624,0.7700644888319952,32,0.0001532948344934,"[2560, 1280]","[2560, 1280, 640]","[2560, 1280]",103,True,0.3315908422136811,14
gat,42,0.8222582387898433,0.9459291485394656,0.7271858576206403,0.940568785788294,0.906294502990601,0.7722198208996844,16,0.0004742297356995,"[2560, 2560, 2560, 1280]","[2560, 1280]","[2560, 1280]",144,True,0.2636084239908946,4
gat,43,0.8391946308724831,0.9577205882352942,0.7467749641662685,0.9433507163402106,0.9146966676160638,0.793562081305702,16,0.000694071923874,"[2560, 2560, 2560, 1280]","[2560, 1280]","[2560, 1280]",136,True,0.2908918992471746,12
gat,44,0.8010175240248727,0.9806228373702424,0.6770186335403726,0.944656162417945,0.8997436627741384,0.7595755682887758,16,0.0007642317169425,"[2560, 1280]","[2560, 1280]","[2560, 1280]",135,True,0.3920596824462102,4
gat,45,0.8186585702456527,0.969281045751634,0.7085523172479694,0.9346197126768192,0.906436912560524,0.7745344305469369,16,0.0009352396352521,"[2560, 2560, 2560, 1280]","[2560, 1280]","[2560, 2560, 2560, 1280, 640]",193,True,0.2158275218800927,10
gat,46,0.821256038647343,0.9369259032455604,0.7310081223124701,0.9347966639903448,0.9051552264312162,0.7688530065001478,16,0.000339366179665,"[2560, 1280]","[2560, 1280]","[2560, 1280]",127,False,0.3396564198752685,3
gat,47,0.8290048855746979,0.8975501113585747,0.7701863354037267,0.9347501845847924,0.9052976360011392,0.7683249728540679,32,0.0002691153517114,[1280],"[2560, 1280]","[2560, 1280, 1280, 1280, 640]",149,True,0.2984973409767644,4
gat,48,0.7757117954677514,0.989621942179392,0.6378404204491162,0.9337205130822324,0.8900598120193677,0.7372680976117952,16,0.0013067391069778,"[2560, 1280]","[2560, 1280]","[2560, 1280, 640]",93,False,0.429717771792696,3
gat,49,0.8182572614107884,0.971747700394218,0.7066411849020545,0.93650869581696,0.906436912560524,0.7747816381758708,64,0.0003782795173711,"[2560, 1280]","[2560, 1280, 1280, 1280, 1280]","[2560, 2560, 2560, 1280]",174,False,0.4750401498530854,3
gat,50,0.8293326299129516,0.9257950530035336,0.7510750119445772,0.9446626084668901,0.907861008259755,0.7750340221211103,32,0.0005941822751492098,"[2560, 1280]","[2560, 1280]","[2560, 1280]",200,True,0.17057984516605967,5
