Model type,Trial,F1_macro_validation_set,Precision validation set,recall validation set,roc_auc validation set,accuracy validation set,mcc validation set,Batch size,Learning rate,Protein layers,Compound layers,Final head layers,Epochs,batch_norm,dropout,best epoch
gat,0,0.886615515771526,0.9605911330049262,0.8232189973614775,0.9600919930081524,0.9238113423715868,0.8353607019995127,16,0.0001430528340392,"[2560, 1280]","[2560, 1280, 640]","[1280, 640]",115,False,0.0460524699725375,1
gat,1,0.8770172509738454,0.9276044732195408,0.8316622691292876,0.9575831071404324,0.9156005346572466,0.8158714840982718,64,0.0005245835639159,"[2560, 1280]","[2560, 1280, 640]","[2560, 1280]",151,True,0.3124517510477999,1
gat,2,0.8846825859056494,0.9870045484080572,0.8015831134564644,0.9596890301574744,0.9243841894214244,0.8392650089788508,64,0.0048942592286305,"[2560, 1280, 640]",[1280],"[2560, 640]",154,False,0.2965884582811106,1
gat,3,0.8995732574679943,0.975925925925926,0.8343007915567282,0.9688079594637056,0.9325949971357648,0.855226618757891,16,0.0005482647324817,"[1280, 640]","[2560, 640]","[2560, 1280, 640]",135,False,0.1287710320770415,1
gat,4,0.8916918014806691,0.928082191780822,0.8580474934036939,0.9691766578400118,0.9245751384380372,0.8354802686769391,64,8.351305050092099e-05,"[2560, 1280]","[2560, 1280]","[1280, 640]",116,False,0.3481556341177031,5
gat,5,0.8883006881948121,0.8911311736590547,0.8854881266490765,0.9691318140118016,0.9194195149894978,0.8252891687051164,32,0.0006340966463961,"[2560, 1280, 640]","[2560, 1280]","[2560, 1280, 640]",158,True,0.103047863722637,2
gat,6,0.8951930654058314,0.891213389121339,0.8992084432717679,0.9728765894689636,0.9238113423715868,0.8353684886016381,64,0.0001182435614938,"[1280, 640]","[2560, 1280]",[640],188,False,0.1182999058527596,6
gat,7,0.8795549374130738,0.93,0.8343007915567282,0.9547007858722992,0.9173190758067596,0.8196829832183902,16,0.0003852169673817,[2560],"[1280, 640]",[640],196,True,0.0955034776852105,3
gat,8,0.8975305137666763,0.9711302211302212,0.8343007915567282,0.9694484051229336,0.9310674050028642,0.8515825102050057,16,0.0017918222595957,"[2560, 1280]","[1280, 640]","[2560, 1280]",181,False,0.4855230702550644,5
gat,9,0.862972153294734,0.9035796766743648,0.8258575197889182,0.9533886301947392,0.9050983387435556,0.7924805237364521,64,0.00366160360854,[1280],[1280],[1280],125,False,0.2780173768825734,4
gat,10,0.8971601874827682,0.939376443418014,0.858575197889182,0.9736649881811248,0.9287760168035136,0.84484641245398,32,0.0002683001846524,"[1280, 640]","[2560, 640]","[2560, 1280, 640]",80,False,0.0019190721168773,3
gat,11,0.8907563025210085,0.9877892030848328,0.8110817941952506,0.9689999668408312,0.9280122207370632,0.8468956530091877,16,0.0012593243144483,[640],[2560],"[2560, 1280]",84,False,0.4983908396744383,5
gat,12,0.8638867033831629,0.8587069864442127,0.8691292875989446,0.9630317112183784,0.900897460378079,0.7860102879246229,16,0.0014771363760881,"[2560, 640]","[1280, 640]","[2560, 1280]",179,False,0.2043008649713709,8
gat,13,0.8640858999717433,0.9300486618004866,0.8068601583113456,0.9499334448113008,0.9081535230093564,0.7998314589515185,16,0.0012789637370345,"[2560, 1280]",[640],[2560],170,False,0.4998937650412836,1
gat,14,0.8887621220764405,0.9671011793916822,0.8221635883905013,0.9605773800782874,0.9255298835211,0.8395477778412713,16,5.00340558717013e-05,"[2560, 1280]","[2560, 1280]","[2560, 1280]",50,True,0.3995866203833142,0
gat,15,0.8645802866335186,0.9698162729658792,0.7799472295514512,0.943730548594762,0.9115906053083828,0.8105604194285121,16,0.0027828302675484,"[2560, 1280]","[2560, 1280]","[2560, 1280]",144,False,0.2065565819968397,0
gat,16,0.8856338028169014,0.9498489425981872,0.8295514511873351,0.959383176300984,0.9224746992552988,0.8317421086564801,16,0.0007727552860447,"[2560, 1280]","[2560, 640]","[2560, 1280]",93,False,0.2039032760913875,1
gat,17,0.8927453769559033,0.9685185185185186,0.8279683377308708,0.9624053187306668,0.9280122207370632,0.8449103124547431,32,0.0020822105798808,"[2560, 1280]","[2560, 1280]","[2560, 1280]",135,False,0.4196658871153958,6
gat,18,0.8666844776916911,0.8777056277056277,0.8559366754617415,0.963519703651772,0.9047164407103304,0.7927193772395305,16,0.0007739797591004,"[2560, 1280]","[2560, 1280]","[2560, 1280]",168,True,0.233953475522738,2
gat,19,0.8980414746543779,0.98858592263792,0.8226912928759894,0.9642607321228656,0.9324040481191522,0.856122190273801,16,0.0002964169741516,"[2560, 1280]","[2560, 1280]","[2560, 1280]",198,False,0.1654455009845014,2
gat,20,0.8872928176795579,0.9310144927536232,0.8474934036939314,0.963140899624038,0.9220928012220736,0.8301012543049395,32,0.0002878404275764,"[2560, 1280]","[2560, 640]","[2560, 1280]",101,False,0.1274524731676498,1
gat,21,0.8949648077964266,0.9188438021122846,0.8722955145118734,0.9660686963235956,0.925911781554325,0.838472860804824,16,0.0003604873850565,"[2560, 1280]","[2560, 1280]","[2560, 1280]",199,False,0.1470911280119072,1
gat,22,0.8941684665226782,0.9154228855721394,0.8738786279683377,0.9720087666526136,0.9251479854878748,0.8368540003911464,16,0.0002175988651775,"[2560, 1280]","[2560, 1280]","[2560, 1280]",179,False,0.1751184016285752,8
gat,23,0.8950182943990993,0.9589867310012062,0.8390501319261213,0.9704466540030222,0.9287760168035136,0.8457872181821305,16,0.0004779062980872,"[2560, 1280]","[2560, 1280]","[2560, 1280]",188,False,0.2503659245582526,2
gat,24,0.8918249380677127,0.9321058688147296,0.8548812664907651,0.9696457811273802,0.9249570364712622,0.8363703939237163,16,0.0009417321662303,"[2560, 1280]","[2560, 1280]","[2560, 1280, 640]",172,False,0.1613652137904107,2
gat,25,0.8881431767337807,0.9446757882212968,0.8379947229551451,0.9565358300608392,0.9236203933549744,0.8339071289193158,16,0.0021155750653856,"[1280, 640]","[2560, 1280]","[2560, 1280]",136,False,0.0630624471397668,4
gat,26,0.8940452893486162,0.950653983353151,0.8437994722955146,0.9652425593193844,0.927630322703838,0.8428297691390657,16,0.0006031053297235,"[2560, 1280]","[2560, 1280]","[2560, 1280]",163,True,0.1509571316093623,2
gat,27,0.8739592305483779,0.9584382871536524,0.8031662269129287,0.9522152693235056,0.9161733817070842,0.8190095361435433,16,0.0009583810400724,"[2560, 640]","[2560, 1280]","[2560, 1280]",187,False,0.2473867476448787,1
gat,28,0.8926991150442478,0.9378268448576408,0.8517150395778365,0.970331228515622,0.925911781554325,0.8385848015654531,16,0.0001950051053218,[1280],"[2560, 1280]","[2560, 1280]",60,False,0.1750009875770267,4
gat,29,0.8742189622385221,0.900895856662934,0.8490765171503958,0.9623288157913436,0.9115906053083828,0.8069934388847688,32,0.0004177298569638,"[2560, 1280]","[2560, 1280]","[2560, 1280]",113,False,0.0806325477970379,2
gat,30,0.8815931108719053,0.899505766062603,0.8643799472295515,0.9595776311405648,0.9159824326904716,0.8169141091054136,16,0.0001670740577547,"[2560, 1280]","[2560, 1280]","[2560, 1280]",198,False,0.0403797329990179,3
gat,31,0.8914185639229423,0.9973873285434356,0.8058047493403694,0.9654841475488268,0.928966965820126,0.8500643410176145,16,0.001354868613908,[640],[2560],"[2560, 1280]",87,False,0.4801599518199243,6
gat,32,0.8089544645128466,0.7809430255402751,0.8390501319261213,0.9287437096267382,0.8565972885239641,0.6955572779831348,16,0.0005500017841798,"[2560, 1280]","[2560, 1280]","[2560, 1280]",70,False,0.4604123673111165,0
gat,33,0.864804469273743,0.9186943620178042,0.8168865435356201,0.9399779570478236,0.9075806759595187,0.7981293897896781,16,0.0017072871568033,"[2560, 1280]","[2560, 1280]",[2560],110,False,0.3479308250776604,1
gat,34,0.8818810511756568,0.9267441860465117,0.8411609498680739,0.966262598510364,0.918464769906435,0.8220933377637429,64,0.0010078439456202,"[2560, 1280]","[2560, 1280]","[2560, 1280]",128,False,0.4439848879113683,6
gat,35,0.8764406325381935,0.8905228758169934,0.862796833773087,0.9608064941442486,0.9119725033416078,0.8083438172606,16,0.0017260118860687,[640],"[2560, 1280]","[2560, 1280]",152,True,0.3968897886907337,1
gat,36,0.8796270907595284,0.9155251141552512,0.8464379947229551,0.9597673489560388,0.9161733817070842,0.8169522498793854,64,0.0007222026427313,"[2560, 1280]","[2560, 1280]","[2560, 1280]",103,False,0.3426696896143737,2
gat,37,0.894384637765493,0.996757457846952,0.8110817941952506,0.9694505367837816,0.9306855069696393,0.8535348175526444,16,0.0004680224263723,"[2560, 1280]",[2560],"[2560, 1280]",143,False,0.3763083391923315,6
gat,38,0.884032634032634,0.9869876382563436,0.8005277044854882,0.9549513744475446,0.9240022913881992,0.8384701079187994,16,0.0005042231207226,"[2560, 1280]","[2560, 1280]","[2560, 1280]",143,True,0.3064917316816979,1
gat,39,0.8918373233342948,0.9834605597964376,0.8158311345646438,0.956505276255351,0.9283941187702884,0.8471952969460477,64,0.0003211862948223,"[2560, 1280]","[2560, 1280]","[2560, 1280]",180,False,0.3847532516554556,0
gat,40,0.8977047322187589,0.9694002447980417,0.8358839050131927,0.9703266493923186,0.9310674050028642,0.851435968103378,32,0.0004031888880334,[2560],"[2560, 1280, 640]","[2560, 1280]",157,False,0.4646635028593399,1
gat,41,0.8964336661911555,0.975776397515528,0.829023746701847,0.9692270281963468,0.9306855069696393,0.8511994868163493,32,0.0004133151738563,[2560],"[2560, 1280, 640]","[2560, 1280]",161,False,0.4486472585849876,3
gat,42,0.8819345661450925,0.9567901234567902,0.8179419525065963,0.9624287669999952,0.9207561581057856,0.8285761608080924,32,0.000260306689459,"[2560, 1280]","[2560, 1280]","[2560, 1280]",148,False,0.4686888981570267,0
gat,43,0.8845618915159944,0.9352941176470588,0.8390501319261213,0.9667833553604956,0.9207561581057856,0.8273209059896923,32,0.0003342063439825,"[2560, 1280]","[2560, 1280]","[2560, 1280]",156,False,0.4385957741599883,5
gat,44,0.8854076008123005,0.9832474226804124,0.8052770448548813,0.9614292549134784,0.9245751384380372,0.8392134422996272,32,0.0004723410253531,"[2560, 1280]","[2560, 1280]","[2560, 1280]",137,False,0.4813237502831282,0
gat,45,0.8664122137404581,0.8962210941906373,0.8385224274406332,0.9523224839691208,0.9064349818598434,0.7955810666762604,32,0.0005871403688511,"[2560, 1280]","[2560, 1280]","[2560, 1280]",127,False,0.4210668123777001,5
gat,46,0.8978021978021978,0.9363896848137536,0.8622691292875989,0.9705050773003384,0.928966965820126,0.8451943662894573,16,0.0002443832243527,"[2560, 1280]","[2560, 1280]","[2560, 1280]",193,False,0.3657767175148865,5
gat,47,0.8918406072106262,0.9169453734671126,0.8680738786279684,0.9715986982657754,0.9238113423715868,0.8338469066906935,64,0.0003624180941482,"[2560, 1280]","[2560, 1280]","[2560, 1280]",118,True,0.4970313450456501,5
gat,48,0.907945205479452,0.9441595441595442,0.8744063324538258,0.971926658234764,0.9358411304181784,0.8603081411898745,16,0.0001337537317564,"[2560, 1280]","[2560, 1280]","[2560, 1280]",175,False,0.4223137349155311,5
gat,49,0.8947804473902236,0.9385863267670915,0.8548812664907651,0.9677354972059453,0.927248424670613,0.8415079960624643,16,0.00012077110644359508,"[2560, 1280]","[2560, 1280]","[2560, 1280]",175,False,0.28474655305489377,5
