Model type,Trial,F1_macro_validation_set,Precision validation set,recall validation set,roc_auc validation set,accuracy validation set,mcc validation set,F1_macro_test_set,Precision test set,recall test set,roc_auc test set,accuracy test set,mcc test set,Batch size,Learning rate,Protein layers,Compound layers,Final head layers,Epochs,batch_norm,dropout,alpha,gamma,lambda_focal,Best epoch
gat,0,0.7287490484648566,0.9979152189020152,0.5739408473221422,0.8831185151282553,0.858072225172597,0.6869059112390462,0.7332441308843207,0.9760362694300518,0.5871809857782972,0.8880255385574083,0.8583150277813671,0.6833219454029993,16,0.0007427507678743,"[2560, 1280]","[2560, 1280]","[2560, 1280, 1280]",62,False,0.8423424376202573,0.5,2.0,0.8,2
gat,1,0.7954680977936791,0.7912218268090154,0.7997601918465228,0.9181676527565223,0.8633828996282528,0.6929334814430849,0.7747198741891095,0.781789327514382,0.76777712838496,0.8929436769274185,0.8519188525649308,0.6645058360486573,32,0.0006724934987198,"[1280, 640]","[2560, 1280, 1280, 1280]","[2560, 1280, 1280, 1280, 1280]",74,True,0.7310730358445571,0.5,5.0,0.2,13
gat,2,0.7549987954709709,0.9502728926622196,0.626298960831335,0.8809708892925421,0.8649761019649496,0.6947769973123166,0.7512437810945273,0.8951765022904877,0.6471848821352035,0.8932139549086612,0.8578627729680838,0.6722097157926957,32,0.0010857701524947,[640],"[2560, 1280, 1280, 1280]","[1280, 640]",162,False,0.032197934937924,0.75,2.0,0.6,0
gat,3,0.0,0.0,0.0,0.5070084687717022,0.6678173127987255,0.0,0.0,0.0,0.0,0.4974854844697974,0.6683680062023517,0.0,32,0.0001709155724423,"[1280, 640]","[2560, 1280, 1280]","[2560, 2560, 2560, 1280, 640]",85,True,0.9930332610947916,0.75,1.0,0.8,2
gat,4,0.7844125630089182,0.7616716867469879,0.8085531574740208,0.9136186478252784,0.8523632501327668,0.6730028413664969,0.7389623235320565,0.6862057448229792,0.800506526397818,0.899642698987032,0.8124434681483396,0.5982439758673989,16,0.0003254826110483,"[1280, 640]","[2560, 1280, 640]",[1280],188,False,0.0266111155599595,0.5,5.0,0.2,8
gat,5,0.7990848585690516,0.8330442324371206,0.7677857713828937,0.9097607798453088,0.8717472118959108,0.7063912384888131,0.7831313028420088,0.82066609735269,0.7488797973894409,0.9010780328802428,0.8624499289313865,0.6842587275094656,16,0.0002469218060012,"[2560, 1280, 1280, 1280]","[2560, 1280]","[2560, 1280, 1280, 1280]",104,True,0.2701762674303337,0.25,2.0,0.8,4
gat,6,0.7870692992644213,0.7631381381381381,0.8125499600319744,0.9125254468393476,0.8539564524694636,0.676872499901806,0.7852567261259485,0.7945751894694855,0.7761542957334892,0.913927894045457,0.8592195374079339,0.6806674255697418,16,5.588134054341371e-05,"[2560, 1280]","[2560, 2560, 2560, 1280, 640]",[2560],106,False,0.467330273012871,0.25,0.5,0.4,3
gat,7,0.7982797460577514,0.8185636287274255,0.7789768185451639,0.9096016228766488,0.8692246415294742,0.7020905668730287,0.7739207395024092,0.7813741064336776,0.7666082213130723,0.9069939512307562,0.8514665977516475,0.6634046856126201,64,7.882655984352749e-05,"[2560, 1280, 1280, 1280, 1280]","[2560, 2560, 2560, 1280, 640]","[2560, 1280]",92,False,0.1477228436396201,0.25,1.0,0.4,0
gat,8,0.7816,0.7822257806244995,0.7809752198241406,0.8987753336098516,0.8550185873605948,0.6730950221324464,0.7406719881195472,0.7073213969154405,0.7773232028053769,0.9035135101797268,0.8194857216694663,0.6042819502435725,64,0.0001530715138641,"[2560, 1280]","[2560, 1280]","[2560, 1280]",68,True,0.4027871692842439,0.1,2.0,0.2,0
gat,9,0.7844271412680757,0.8845960863020572,0.7046362909672262,0.9020100023361032,0.8713489113117366,0.7035335891627418,0.7871873628784555,0.9008285212151644,0.6990064289888954,0.8952978278987254,0.8746608088900375,0.7116670686464084,32,0.0001067895423948,"[2560, 1280, 1280]","[2560, 1280, 1280, 1280, 640]","[2560, 2560, 2560, 1280]",172,False,0.7646642151836308,0.75,5.0,0.2,1
gat,10,0.7488061127029608,0.7171606293450421,0.7833733013589129,0.8778914840294763,0.8254115772703133,0.6168264008484156,0.7324402606806661,0.6840236686390533,0.7882330021429963,0.8835868366412348,0.8090192531334798,0.5886672827690499,16,0.0025774848622429,"[2560, 1280, 1280, 1280]","[2560, 1280, 1280, 640]","[2560, 1280, 1280, 1280]",139,True,0.2703773469205772,0.25,3.0,0.8,2
gat,11,0.7885034687809712,0.782147070389304,0.7949640287769785,0.9096150514975692,0.8583377588953797,0.6820673063646394,0.7586797298582707,0.7412639405204461,0.7769335671147477,0.890489584118984,0.836089934100013,0.6350840954740269,32,0.0002379561268034,"[2560, 1280, 1280]","[2560, 1280, 1280, 1280, 640]","[2560, 2560, 2560, 1280]",124,True,0.6347781916982564,0.75,5.0,0.6,6
gat,12,0.7721441661576054,0.7870485678704857,0.7577937649880095,0.8961231412484327,0.8514338821030271,0.6622504315492587,0.7794616151545364,0.7982438227486216,0.7615429573348919,0.9065498814191136,0.8570874790024551,0.6742506934525713,16,0.0001019859562024,"[2560, 1280, 1280, 1280]","[2560, 640]","[2560, 1280, 1280, 1280]",188,False,0.5712277824521254,0.1,0.5,0.8,7
gat,13,0.7703770602844886,0.885313959522574,0.6818545163868905,0.9022102794901256,0.8649761019649496,0.6885950997705577,0.7726278968080454,0.8801992528019925,0.6884862653419053,0.8969000045856109,0.8656157126243701,0.6895844738088001,32,0.0003403556918394,"[2560, 1280]","[2560, 1280, 1280, 1280, 1280]","[2560, 1280, 1280, 640]",159,True,0.3616293913546064,0.25,3.0,0.2,2
gat,14,0.791420442109871,0.8746976294146106,0.7226219024780176,0.9054657268221208,0.873473181093999,0.7083852757964233,0.7934725018544029,0.8698884758364313,0.7293980128579778,0.9023930203799804,0.874079338415816,0.7095533079768066,64,5.152290027811777e-05,"[2560, 1280, 1280]","[2560, 1280, 1280, 1280, 640]","[2560, 2560, 2560, 1280]",120,True,0.2496002669820413,0.75,2.0,0.8,5
gat,15,0.7969162995594713,0.8876349362119725,0.7230215827338129,0.9099802066895192,0.8775889537971322,0.7182690578883194,0.7877318718381112,0.8580941446613088,0.7280342879407754,0.8980102120708534,0.8698798294353276,0.6997037919278195,64,5.45177676775584e-05,"[2560, 1280]","[2560, 1280]","[2560, 1280, 640]",116,True,0.2439941561690685,0.75,2.0,0.8,0
gat,16,0.7661141804788214,0.7103825136612022,0.8313349320543565,0.9199152407696112,0.8313860860329262,0.6403565705566288,0.7593827047758195,0.7146785837057408,0.8100526008182349,0.9094136001688108,0.8297583667140458,0.6314134929803354,64,5.056847857075877e-05,"[2560, 1280, 640]",[640],"[2560, 1280, 640]",130,True,0.1945539099904451,0.75,2.0,0.8,8
gat,17,0.7639699749791492,0.7986050566695728,0.7322142286171063,0.899435719813811,0.849707912904939,0.6553540637264822,0.7686891696003313,0.8203314917127071,0.7231638418079096,0.8950372013573784,0.855666106732136,0.6671885791067579,64,7.632830817421686e-05,"[2560, 2560, 2560, 1280]",[1280],"[2560, 1280, 640]",113,True,0.3897124344704444,0.75,2.0,0.8,4
gat,18,0.7824037706205814,0.7691119691119691,0.7961630695443646,0.9104158820061248,0.8528943175783325,0.6715716102512724,0.7776477472205968,0.7785588752196837,0.7767387492694331,0.9033665917244128,0.8526941465305595,0.6675147082704423,64,0.000151141313906,"[2560, 1280, 1280, 1280, 640]","[1280, 640]",[640],141,True,0.1489082789869315,0.75,2.0,0.8,1
gat,19,0.7640772708590218,0.7863790186125211,0.7430055955235811,0.8999564960357758,0.8475836431226765,0.6522119800446281,0.790604296326039,0.8154897494305239,0.7671926748490162,0.912052209675978,0.8652280656415557,0.6920792980363552,64,5.4817867969434906e-05,[1280],[2560],"[2560, 640]",148,True,0.4971652282624226,0.75,2.0,0.4,0
gat,20,0.7775574940523394,0.7714398111723053,0.7837729816147082,0.9018960577065188,0.851035581518853,0.6656393382127783,0.777282419073464,0.7733847637415622,0.7812195597116696,0.9128993989459876,0.8515312055821166,0.6659576897358199,64,0.0001116892841722,"[2560, 2560, 2560, 1280, 640]","[2560, 1280]","[2560, 1280, 1280, 1280, 640]",51,True,0.2943240151682998,0.1,3.0,0.6,2
gat,21,0.7668711656441717,0.7369196757553427,0.7993605115907274,0.9106711847222024,0.8385554965480616,0.6449515427776201,0.7541729893778453,0.7347994825355757,0.7745957529709722,0.8979865307329623,0.832536503424215,0.6278244124304948,64,7.458812176866675e-05,"[2560, 1280, 1280, 640]","[2560, 2560, 2560, 1280]","[2560, 1280]",104,True,0.2823935139472935,0.25,2.0,0.8,3
gat,22,0.7873231014550529,0.7852882703777336,0.7893685051958433,0.9110792479336612,0.8583377588953797,0.6811284550889877,0.7692307692307693,0.7477924944812362,0.7919345412039743,0.9039675892407444,0.84242150148598,0.6503609182273293,16,0.0002045477260391,"[2560, 640]","[2560, 1280]","[2560, 1280, 640]",117,True,0.2176050246300588,0.25,2.0,0.8,3
gat,23,0.7666214382632293,0.8828125,0.6774580335731415,0.889853008249464,0.8629845990440786,0.68380799002685,0.7786458333333333,0.878765613519471,0.6990064289888954,0.911342494574243,0.8682000258431322,0.6956485585829397,64,0.0001302321167199,"[2560, 1280, 1280]","[2560, 1280]","[2560, 2560, 2560, 1280]",91,True,0.099904440661102,0.75,2.0,0.8,0
gat,24,0.789831251369713,0.8743328481319748,0.7202238209432454,0.9080664295601292,0.8726765799256505,0.7064930528512015,0.7870900572618428,0.8452593917710197,0.7364114552893045,0.907466080838389,0.867876986690787,0.6954217791640342,64,8.3210900938642e-05,"[2560, 1280]","[2560, 1280]","[2560, 1280]",101,True,0.3192189671206256,0.75,1.0,0.8,3
gat,25,0.7944311507504894,0.871599045346062,0.7298161470823341,0.9008899441083316,0.8745353159851301,0.7109173704772644,0.7874097007223941,0.837173579109063,0.7432300798753165,0.9018677843128226,0.8669078692337512,0.6936320619184025,64,6.996286383221276e-05,[2560],"[2560, 1280]","[2560, 1280]",128,True,0.3304234949920407,0.75,1.0,0.8,1
gat,26,0.7908345595963842,0.8341463414634146,0.7517985611510791,0.9095160849451652,0.8678969729155602,0.6966821195274422,0.7993951612903226,0.828284938374765,0.7724527566725112,0.9146159240095528,0.8714304173665848,0.7058940583023582,64,5.526151828705133e-05,[2560],"[2560, 1280]","[2560, 1280]",129,True,0.4143217068193409,0.75,1.0,0.8,1
gat,27,0.7556377079482439,0.7028885832187071,0.8169464428457234,0.8986830813679076,0.8244822092405736,0.6241664889450917,0.7461294862772696,0.6801924619085806,0.8262224819793493,0.9060387599943014,0.8135418012663135,0.6080703750337607,64,0.0001000150284727,[2560],"[2560, 1280]","[2560, 1280]",120,True,0.2126590408507116,0.75,1.0,0.8,3
gat,28,0.7665298677610578,0.8922505307855626,0.6718625099920064,0.8876590973741882,0.8640467339352098,0.6867780552526467,0.7828635851183766,0.9290875033449292,0.6764075589323982,0.893490682876566,0.8755653185166042,0.7159431496747019,64,6.364529064392708e-05,[2560],"[2560, 1280]","[2560, 2560, 2560, 1280, 640]",148,True,0.3342375605360563,0.75,0.5,0.4,0
gat,29,0.791044776119403,0.8478062157221207,0.7414068745003997,0.9099229562671932,0.8698884758364313,0.7004962694337717,0.7843096234309623,0.8468488818613056,0.730372102084551,0.9019228775565606,0.866778653572813,0.6926407270770626,64,5.0852869216932494e-05,"[2560, 1280]","[2560, 1280]","[2560, 1280]",134,True,0.4287450589021943,0.5,1.0,0.8,4
gat,30,0.7653853436849081,0.7272400143936668,0.8077537969624301,0.9000969800700196,0.8355018587360595,0.6413618946119117,0.762154821186057,0.7119418132611637,0.8199883109292812,0.912577775304498,0.8302752293577982,0.6350435743514052,64,8.456609746472922e-05,"[2560, 1280]","[2560, 1280]","[2560, 1280]",79,True,0.525447772680808,0.75,1.0,0.6,3
gat,31,0.774869109947644,0.8139023317201936,0.7394084732214229,0.911542455896118,0.8572756240042485,0.67239605353768,0.7620464009518144,0.775893397940642,0.7486849795441263,0.8981464715701065,0.8449412068742732,0.647329887945778,64,7.698112651281468e-05,"[2560, 1280]","[2560, 1280, 1280, 1280, 640]","[2560, 1280]",96,True,0.334896862798584,0.75,1.0,0.8,5
