Model type,Trial,F1_macro_validation_set,Precision validation set,recall validation set,roc_auc validation set,accuracy validation set,mcc validation set,F1_macro_test_set,Precision test set,recall test set,roc_auc test set,accuracy test set,mcc test set,Batch size,Learning rate,Protein layers,Compound layers,Final head layers,Epochs,batch_norm,dropout,alpha,gamma,lambda_focal,Best epoch
gat,0,0.7613594384927965,0.707760989010989,0.8237410071942446,0.907272710658511,0.8284652150823154,0.6330789270111671,0.7612783696155628,0.7257152949487814,0.800506526397818,0.9064174071675076,0.8335056208812508,0.6357255304478149,64,0.0005469407009128,"[2560, 1280]","[2560, 1280]","[2560, 1280, 1280]",141,True,0.8263408005068332,0.25,2.0,0,9
gat,1,0.7721976697468864,0.7762520193861067,0.768185451638689,0.8902498279706255,0.8494423791821561,0.659789249782823,0.766266460108443,0.7616939364773821,0.7708942139099941,0.8927502055756698,0.8440366972477065,0.6492737325509431,64,0.001077008435027,"[1280, 640]","[2560, 1280]","[2560, 1280, 1280]",149,False,0.321980606468308,0.25,2.0,0,0
gat,2,0.7032740397009538,0.990559186637618,0.5451638689048761,0.8763583963842841,0.8471853425385024,0.6611651107893706,0.7069138276553105,0.9898281304805332,0.5497759594778882,0.8632611302052687,0.8488176767024164,0.6643054416355295,16,0.0010702689719742,"[2560, 2560, 2560, 1280]","[2560, 640]","[2560, 1280]",155,False,0.8878567926762226,0.25,2.0,0,0
gat,3,0.7814183123877918,0.890992835209826,0.6958433253397283,0.8819560256367471,0.8706850770047796,0.7022147946439293,0.7726780688460705,0.8694275274056029,0.6953048899279174,0.9000799515864942,0.864323556014989,0.6862782180524388,16,0.0012549838986353,"[2560, 1280, 1280]","[2560, 2560, 2560, 1280, 640]","[2560, 2560, 2560, 1280, 640]",128,True,0.7922993018445906,0.25,2.0,0,3
gat,4,0.7714399680893499,0.7699044585987261,0.7729816147082335,0.8991637306457021,0.8478491768454594,0.6574137347765189,0.761132831124249,0.7454239820694808,0.7775180206506916,0.9027360466779416,0.8381573846750227,0.6391593635038109,16,0.0005047916994763,"[2560, 1280, 1280, 640]","[2560, 1280, 1280, 1280]",[2560],106,False,0.2364623961980289,0.25,2.0,0,4
gat,5,0.7397540983606558,0.6457960644007156,0.8657074340527577,0.9088503749684148,0.7976633032395114,0.5965880593028465,0.6904586102223316,0.5963718820861678,0.8197934930839665,0.8833889868313871,0.7562346556402636,0.5147009993439692,32,0.0003437349738045,"[2560, 640]","[2560, 1280]",[2560],193,False,0.5874937474795024,0.25,2.0,0,1
gat,6,0.7684352517985611,0.8782117163412128,0.6830535571542766,0.875981759324151,0.8632501327668614,0.6842571601464049,0.7724531198596337,0.8835925740090316,0.6861484511981297,0.905326766211147,0.8659387517767153,0.690466899614344,64,0.0006583332581199,"[2560, 640]","[2560, 1280, 640]","[2560, 1280]",187,False,0.6939847028582425,0.25,2.0,0,0
gat,7,0.6807276562088057,1.0,0.5159872102318146,0.8095038879433232,0.8392193308550185,0.6448762306851946,0.6679433167368825,0.9688888888888888,0.5096434833430742,0.8024903633903653,0.8319550329499935,0.6221984803917276,64,0.0026648741705053,"[2560, 1280, 1280, 1280]","[2560, 1280]","[2560, 1280, 1280, 1280, 640]",173,True,0.9502516250691508,0.25,2.0,0,1
gat,8,0.7292405299496173,0.6839341967098355,0.7809752198241406,0.8854463943755533,0.8073552841210834,0.5838253502908989,0.7338283976022187,0.678524156187955,0.798947983635301,0.8964905198849322,0.8077917043545678,0.5897565081541238,64,0.0002500386003201,[640],"[2560, 1280]",[2560],147,False,0.0406161245584595,0.25,2.0,0,2
gat,9,0.7756423224762289,0.7853338795575584,0.7661870503597122,0.903929897831238,0.852761550716941,0.6662053782287151,0.7786918138041734,0.802688728024819,0.7560880576660822,0.9054571501021124,0.8574751259852694,0.6743779901639888,16,0.0002209430101492,"[2560, 2560, 2560, 1280, 640]","[2560, 1280]","[2560, 1280, 1280, 1280]",128,False,0.7792452928594803,0.25,2.0,0,1
gat,10,0.8214890016920473,0.8724168912848158,0.7761790567545963,0.9190253761205748,0.8879447689856612,0.742922823669756,0.7931174913459581,0.8306675197270207,0.7588155075004871,0.909571337652847,0.8687168884868847,0.6987872081877143,32,6.319581324588054e-05,"[2560, 1280, 1280]","[2560, 2560, 2560, 1280, 640]","[2560, 2560, 2560, 1280, 640]",80,True,0.5966218343229814,0.25,2.0,0,1
gat,11,0.7507440476190476,0.7021572720946416,0.806554756195044,0.9044312859851285,0.8220924057355284,0.6170185168861247,0.7459871225174572,0.6978282999660672,0.8012857977790766,0.8965577692349195,0.819033466856183,0.6099715582112496,32,5.454668757705061e-05,"[2560, 1280, 1280]","[2560, 2560, 2560, 1280, 640]","[2560, 2560, 2560, 1280, 640]",66,True,0.5909689957279931,0.25,2.0,0,5
gat,12,0.8055728841755042,0.8396185522323364,0.7741806554756195,0.9175041676400432,0.8758629845990441,0.715886999081934,0.7946567256912084,0.8481432360742706,0.7475160724722385,0.9119655162056152,0.8718826721798681,0.7050479777168882,32,5.057712662150123e-05,"[2560, 1280, 1280]","[2560, 2560, 2560, 1280, 640]","[2560, 2560, 2560, 1280, 640]",95,True,0.4581213652354854,0.25,2.0,0,3
gat,13,0.759170653907496,0.7573587907716786,0.7609912070343725,0.885501499396904,0.8396176314391928,0.638952865196565,0.7533384204502099,0.7379928985236405,0.7693356711474771,0.9017665524783628,0.8329241504070294,0.6274121891384509,32,6.134145110135758e-05,[1280],"[2560, 1280]","[2560, 1280, 1280, 640]",82,True,0.4432223563406839,0.25,2.0,0,0
gat,14,0.7661227661227661,0.745275888133031,0.7881694644284573,0.9029631165842676,0.8401486988847584,0.645429634314855,0.762560620756547,0.7593200695383426,0.7658289499318137,0.8910560153564295,0.8418400310117586,0.6440068600845227,32,9.268106285977968e-05,"[2560, 1280, 1280]","[2560, 2560, 2560, 1280, 640]","[2560, 2560, 2560, 1280, 640]",93,True,0.5060343585213608,0.25,2.0,0,6
