accuracy,f1_score,recall,precision,roc_auc,mcc,seed,num_samples_test,similarity
1.0,1.0,1.0,1.0,1.0,1.0,0,104,20
1.0,1.0,1.0,1.0,1.0,1.0,1,104,20
1.0,1.0,1.0,1.0,1.0,1.0,2,104,20
0.9903846153846154,0.8571428571428571,1.0,0.75,1.0,0.8617274844321391,3,104,20
1.0,1.0,1.0,1.0,1.0,1.0,4,104,20
1.0,1.0,1.0,1.0,,0.0,0,3,40
1.0,1.0,1.0,1.0,,0.0,1,3,40
1.0,1.0,1.0,1.0,,0.0,2,3,40
1.0,1.0,1.0,1.0,,0.0,3,3,40
1.0,1.0,1.0,1.0,,0.0,4,3,40
0.5,0.3025830258302583,0.18061674008810572,0.9318181818181818,0.8235259795197944,0.24549950735536874,0,378,60
0.48677248677248675,0.2706766917293233,0.15859030837004406,0.9230769230769231,0.8129941360095692,0.22336594826419964,1,378,60
0.5079365079365079,0.32608695652173914,0.19823788546255505,0.9183673469387755,0.8143653178516207,0.2504359342766247,2,378,60
0.5,0.3025830258302583,0.18061674008810572,0.9318181818181818,0.8375295387577675,0.24549950735536874,3,378,60
0.5079365079365079,0.32608695652173914,0.19823788546255505,0.9183673469387755,0.8293024477054585,0.2504359342766247,4,378,60
1.0,1.0,1.0,1.0,,0.0,0,4,80
1.0,1.0,1.0,1.0,,0.0,1,4,80
1.0,1.0,1.0,1.0,,0.0,2,4,80
1.0,1.0,1.0,1.0,,0.0,3,4,80
1.0,1.0,1.0,1.0,,0.0,4,4,80
