accuracy,f1_score,recall,precision,roc_auc,mcc,seed,num_samples_test,similarity
0.9103896103896104,0.8253164556962025,0.8670212765957447,0.7874396135265701,0.9559753600935879,0.7668457485859793,0,770,20
0.9142857142857143,0.8316326530612245,0.8670212765957447,0.7990196078431373,0.9563774950647072,0.7754316795602819,1,770,20
0.8948051948051948,0.800982800982801,0.8670212765957447,0.7442922374429224,0.9499616143891205,0.7339813486225535,2,770,20
0.912987012987013,0.830379746835443,0.8723404255319149,0.7922705314009661,0.9537544783212693,0.7736645954623357,3,770,20
0.9142857142857143,0.8307692307692308,0.8617021276595744,0.801980198019802,0.9537179205966221,0.7743713847074064,4,770,20
0.9575070821529745,0.961038961038961,0.9536082474226805,0.9685863874345549,0.9923815081371977,0.9144505113865886,0,353,40
0.9603399433427762,0.9637305699481865,0.9587628865979382,0.96875,0.9934513389094211,0.9200432728858863,1,353,40
0.9575070821529745,0.9612403100775194,0.9587628865979382,0.9637305699481865,0.9922842507942683,0.9142340109654666,2,353,40
0.9603399433427762,0.9641025641025641,0.9690721649484536,0.9591836734693877,0.9921221552227194,0.9198617429019692,3,353,40
0.9575070821529745,0.9612403100775194,0.9587628865979382,0.9637305699481865,0.9925111845944369,0.9142340109654666,4,353,40
0.864101514531314,0.7655367231638418,0.7066492829204694,0.8351309707241911,0.912431971571974,0.6754319251519282,0,2443,60
0.8591895210806385,0.7549857549857549,0.6910039113428944,0.8320251177394035,0.9118967679300998,0.662957122952956,1,2443,60
0.8624641833810889,0.7593123209169055,0.6910039113428944,0.8426073131955485,0.9132635597887813,0.6707534694939358,2,2443,60
0.8628735161686452,0.760200429491768,0.6923076923076923,0.8428571428571429,0.9128473767242425,0.6717888788749121,3,2443,60
0.86123618501842,0.7600849256900213,0.7001303780964798,0.8312693498452013,0.9138882233417245,0.6683174440888642,4,2443,60
0.9086783891094725,0.8081048867699643,0.8168674698795181,0.7995283018867925,0.9479047495620464,0.7482699423131034,0,3526,80
0.9089619965967102,0.8103957471943296,0.8265060240963855,0.7949015063731171,0.9484620231668515,0.7507734109939769,1,3526,80
0.9086783891094725,0.8103651354534747,0.8289156626506025,0.7926267281105991,0.9471045904686997,0.7505889059787121,2,3526,80
0.9089619965967102,0.8103957471943296,0.8265060240963855,0.7949015063731171,0.9481378034392764,0.7507734109939769,3,3526,80
0.9095292115711855,0.8126834997064005,0.8337349397590361,0.7926689576174112,0.9481632762504022,0.75351373866219,4,3526,80
