accuracy,f1_score,recall,precision,roc_auc,mcc,seed,num_samples_test,similarity
0.9903846153846154,0.8571428571428571,1.0,0.75,1.0,0.8617274844321391,0,104,20
1.0,1.0,1.0,1.0,1.0,1.0,1,104,20
1.0,1.0,1.0,1.0,1.0,1.0,2,104,20
1.0,1.0,1.0,1.0,1.0,1.0,3,104,20
0.9903846153846154,0.8571428571428571,1.0,0.75,1.0,0.8617274844321391,4,104,20
1.0,1.0,1.0,1.0,,0.0,0,3,40
1.0,1.0,1.0,1.0,,0.0,1,3,40
1.0,1.0,1.0,1.0,,0.0,2,3,40
1.0,1.0,1.0,1.0,,0.0,3,3,40
1.0,1.0,1.0,1.0,,0.0,4,3,40
0.5,0.3076923076923077,0.18502202643171806,0.9130434782608695,0.8684832394900371,0.237503642243088,0,378,60
0.5185185185185185,0.34532374100719426,0.21145374449339208,0.9411764705882353,0.8704670770487499,0.2746671047528769,1,378,60
0.5052910052910053,0.32,0.19383259911894274,0.9166666666666666,0.8641363013099163,0.24616718069419488,2,378,60
0.5052910052910053,0.32,0.19383259911894274,0.9166666666666666,0.8704379029670041,0.24616718069419488,3,378,60
0.5052910052910053,0.32,0.19383259911894274,0.9166666666666666,0.8699711176590716,0.24616718069419488,4,378,60
1.0,1.0,1.0,1.0,,0.0,0,4,80
1.0,1.0,1.0,1.0,,0.0,1,4,80
1.0,1.0,1.0,1.0,,0.0,2,4,80
1.0,1.0,1.0,1.0,,0.0,3,4,80
1.0,1.0,1.0,1.0,,0.0,4,4,80
