accuracy,f1_score,recall,precision,roc_auc,mcc,seed,num_samples_test,similarity
0.9903846153846154,0.8571428571428571,1.0,0.75,1.0,0.8617274844321391,0,104,20
1.0,1.0,1.0,1.0,1.0,1.0,1,104,20
1.0,1.0,1.0,1.0,1.0,1.0,2,104,20
1.0,1.0,1.0,1.0,1.0,1.0,3,104,20
1.0,1.0,1.0,1.0,1.0,1.0,4,104,20
1.0,1.0,1.0,1.0,,0.0,0,3,40
1.0,1.0,1.0,1.0,,0.0,1,3,40
1.0,1.0,1.0,1.0,,0.0,2,3,40
1.0,1.0,1.0,1.0,,0.0,3,3,40
1.0,1.0,1.0,1.0,,0.0,4,3,40
0.5211640211640212,0.35125448028673834,0.21585903083700442,0.9423076923076923,0.8719549552177845,0.2786943250413583,0,378,60
0.5529100529100529,0.4271186440677966,0.2775330396475771,0.9264705882352942,0.8671412317297313,0.3116762073634262,1,378,60
0.5291005291005291,0.3732394366197183,0.23348017621145375,0.9298245614035088,0.8806488315780261,0.28330944512712763,2,378,60
0.5291005291005291,0.36879432624113473,0.2290748898678414,0.9454545454545454,0.8823992764827726,0.29060006984653275,3,378,60
0.49206349206349204,0.2781954887218045,0.16299559471365638,0.9487179487179487,0.8406803395863115,0.2411224842145398,4,378,60
1.0,1.0,1.0,1.0,,0.0,0,4,80
1.0,1.0,1.0,1.0,,0.0,1,4,80
1.0,1.0,1.0,1.0,,0.0,2,4,80
1.0,1.0,1.0,1.0,,0.0,3,4,80
1.0,1.0,1.0,1.0,,0.0,4,4,80
