accuracy,f1_score,recall,precision,roc_auc,mcc,seed,num_samples_test,similarity
0.9561752988047809,0.907563025210084,1.0,0.8307692307692308,0.9988719684151156,0.8856529236288729,0,251,20
0.9721115537848606,0.9391304347826087,1.0,0.8852459016393442,0.9997179921037789,0.9240078265415437,1,251,20
0.9482071713147411,0.8907563025210085,0.9814814814814815,0.8153846153846154,0.9977439368302312,0.8635204182693701,2,251,20
0.9681274900398407,0.9310344827586207,1.0,0.8709677419354839,0.9993419815754842,0.9141107665551328,3,251,20
0.952191235059761,0.9,1.0,0.8181818181818182,0.999059973679263,0.8765519561298739,4,251,20
1.0,1.0,1.0,1.0,1.0,1.0,0,159,40
1.0,1.0,1.0,1.0,1.0,1.0,1,159,40
1.0,1.0,1.0,1.0,1.0,1.0,2,159,40
1.0,1.0,1.0,1.0,1.0,1.0,3,159,40
1.0,1.0,1.0,1.0,1.0,1.0,4,159,40
0.8647342995169082,0.8359375,0.8629032258064516,0.8106060606060606,0.9494075931851595,0.7220799788228576,0,621,60
0.8695652173913043,0.8408644400785854,0.8629032258064516,0.8199233716475096,0.9554938164836115,0.7311661040715061,1,621,60
0.8647342995169082,0.8359375,0.8629032258064516,0.8106060606060606,0.9546073683300181,0.7220799788228576,2,621,60
0.8727858293075684,0.8454011741682974,0.8709677419354839,0.8212927756653993,0.9561748681138114,0.7384059891082373,3,621,60
0.8743961352657005,0.8482490272373541,0.8790322580645161,0.8195488721804511,0.954110092536539,0.7426544594835071,4,621,60
0.8837209302325582,0.8962655601659751,0.9,0.8925619834710744,0.9628947368421054,0.7640296539623709,0,215,80
0.8697674418604651,0.8852459016393442,0.9,0.8709677419354839,0.961578947368421,0.7353296639830899,1,215,80
0.8837209302325582,0.8979591836734694,0.9166666666666666,0.88,0.9636842105263158,0.7638136592408419,2,215,80
0.8790697674418605,0.8943089430894309,0.9166666666666666,0.873015873015873,0.9628070175438597,0.7544254483143588,3,215,80
0.8790697674418605,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.9630701754385964,0.7548245614035087,4,215,80
