accuracy,f1_score,recall,precision,roc_auc,mcc,seed,similarity
0.9328193832599119,0.882466281310212,0.89453125,0.870722433460076,0.9640049846625767,0.8355956373989429,0,20
0.9284140969162996,0.875717017208413,0.89453125,0.8576779026217228,0.9604641967024539,0.8258378202249353,1,20
0.9273127753303965,0.8715953307392996,0.875,0.8682170542635659,0.9619380272239264,0.8209172465262976,2,20
0.9383259911894273,0.8914728682170543,0.8984375,0.8846153846153846,0.9646640145705522,0.8484493065949202,3,20
0.9427312775330396,0.8984375,0.8984375,0.8984375,0.9626030483128833,0.8585601993865031,4,20
1.0,1.0,1.0,1.0,,0.0,0,40
1.0,1.0,1.0,1.0,,0.0,1,40
1.0,1.0,1.0,1.0,,0.0,2,40
1.0,1.0,1.0,1.0,,0.0,3,40
1.0,1.0,1.0,1.0,,0.0,4,40
0.8623239436619718,0.7953950811093669,0.7450980392156863,0.8529741863075196,0.9219610536522301,0.695958773523087,0,60
0.8637323943661972,0.7974882260596546,0.7470588235294118,0.8552188552188552,0.9250218164188753,0.6991222731258424,1,60
0.8609154929577465,0.7926509186351706,0.7401960784313726,0.8531073446327684,0.9225035014005603,0.6927330813681037,2,60
0.8595070422535211,0.7914270778881338,0.7421568627450981,0.8477043673012318,0.9251936543848309,0.6896580846024197,3,60
0.8559859154929578,0.7868681605002605,0.7401960784313726,0.8398220244716351,0.9215780542986426,0.6818581422975166,4,60
0.933920704845815,0.8832684824902723,0.88671875,0.8798449612403101,0.9644543232361963,0.8371988356713468,0,20
0.9240088105726872,0.8675623800383877,0.8828125,0.8528301886792453,0.9639810199386503,0.8145417911274807,1,20
0.9427312775330396,0.8980392156862745,0.89453125,0.9015748031496063,0.9658862154907977,0.8582365940331701,2,20
0.9383259911894273,0.8910505836575876,0.89453125,0.8875968992248062,0.9628426955521473,0.8480532284347129,3,20
0.9416299559471366,0.8966861598440545,0.8984375,0.8949416342412452,0.9629864838957054,0.8560141697766877,4,20
