accuracy,f1_score,recall,precision,roc_auc,mcc,seed,similarity
0.9389312977099237,0.8904109589041096,1.0,0.8024691358024691,0.9988285825849278,0.8586582425882285,0,20
0.9389312977099237,0.8888888888888888,0.9846153846153847,0.810126582278481,0.9969543147208122,0.8549935652011129,1,20
0.9389312977099237,0.8904109589041096,1.0,0.8024691358024691,0.9960952752830925,0.8586582425882285,2,20
0.9351145038167938,0.8843537414965986,1.0,0.7926829268292683,0.9966419367434596,0.8510457193313558,3,20
0.9351145038167938,0.8827586206896552,0.9846153846153847,0.8,0.9975790706755173,0.8472036166209305,4,20
1.0,1.0,1.0,1.0,,0.0,0,40
1.0,1.0,1.0,1.0,,0.0,1,40
1.0,1.0,1.0,1.0,,0.0,2,40
1.0,1.0,1.0,1.0,,0.0,3,40
1.0,1.0,1.0,1.0,,0.0,4,40
0.8462998102466793,0.7589285714285714,0.8443708609271523,0.6891891891891891,0.9406725553050584,0.6550000392561944,0,60
0.8538899430740038,0.7701492537313432,0.8543046357615894,0.7010869565217391,0.9407562174158095,0.6715477246668742,1,60
0.8586337760910816,0.7745839636913767,0.847682119205298,0.713091922005571,0.9395277053684656,0.6780592680626593,2,60
0.8624288425047438,0.7786259541984732,0.8443708609271523,0.7223796033994334,0.9478322706777511,0.6840623607494286,3,60
0.8690702087286527,0.790273556231003,0.8609271523178808,0.7303370786516854,0.9460797696209665,0.7010066924159353,4,60
0.9351145038167938,0.8827586206896552,0.9846153846153847,0.8,0.9960171807887543,0.8472036166209305,0,20
0.9389312977099237,0.8904109589041096,1.0,0.8024691358024691,0.997344787192503,0.8586582425882285,1,20
