ID,SMILES,Pathways,Superclass,Class
compound_aminotransferase_dataset 1,NCC(=O)O,Amino acids and Peptides,Small peptides,Aminoacids
compound_aminotransferase_dataset 2,C[C@H](N)C(=O)O,Amino acids and Peptides,Small peptides,Aminoacids
compound_aminotransferase_dataset 3,CC(C)[C@H](N)C(=O)O,"Amino acids and Peptides, Fatty acids","Fatty Acids and Conjugates, Small peptides","Amino fatty acids, Aminoacids"
compound_aminotransferase_dataset 4,CC(C)C[C@H](N)C(=O)O,"Amino acids and Peptides, Fatty acids","Fatty Acids and Conjugates, Small peptides","Amino fatty acids, Aminoacids"
compound_aminotransferase_dataset 5,CC[C@H](C)[C@H](N)C(=O)O,"Amino acids and Peptides, Fatty acids","Fatty Acids and Conjugates, Small peptides","Amino fatty acids, Aminoacids"
compound_aminotransferase_dataset 6,N[C@@H](Cc1ccccc1)C(=O)O,Amino acids and Peptides,Small peptides,Aminoacids
compound_aminotransferase_dataset 7,N[C@@H](Cc1ccc(O)cc1)C(=O)O,Amino acids and Peptides,Small peptides,Aminoacids
compound_aminotransferase_dataset 8,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,Amino acids and Peptides,Small peptides,Aminoacids
compound_aminotransferase_dataset 9,N[C@@H](CO)C(=O)O,"Amino acids and Peptides, Fatty acids","Fatty Acids and Conjugates, Small peptides","Amino fatty acids, Aminoacids"
compound_aminotransferase_dataset 10,C[C@@H](O)[C@H](N)C(=O)O,Amino acids and Peptides,Small peptides,Aminoacids
compound_aminotransferase_dataset 11,N[C@@H](CS)C(=O)O,Amino acids and Peptides,Small peptides,Aminoacids
compound_aminotransferase_dataset 12,CSCC[C@H](N)C(=O)O,Amino acids and Peptides,Small peptides,Aminoacids
compound_aminotransferase_dataset 13,NC(=O)C[C@H](N)C(=O)O,Amino acids and Peptides,Small peptides,Aminoacids
compound_aminotransferase_dataset 14,NC(=O)CC[C@H](N)C(=O)O,Amino acids and Peptides,Small peptides,Aminoacids
compound_aminotransferase_dataset 15,N[C@@H](CC(=O)O)C(=O)O,Amino acids and Peptides,Small peptides,Aminoacids
compound_aminotransferase_dataset 16,NCCCC[C@H](N)C(=O)O,Amino acids and Peptides,Small peptides,Aminoacids
compound_aminotransferase_dataset 17,NC(N)=NCCC[C@H](N)C(=O)O,Amino acids and Peptides,Small peptides,Aminoacids
compound_aminotransferase_dataset 18,N[C@@H](Cc1cnc[nH]1)C(=O)O,Amino acids and Peptides,Small peptides,Aminoacids
compound_phospatase_dataset 1,C=C(OP(=O)(O)O)C(=O)O,Terpenoids,Monoterpenoids,
compound_phospatase_dataset 2,CC(=O)N[C@H]1[C@@H](O)[C@H](O)[C@@H](COP(=O)(O)O)O[C@@H]1O,Carbohydrates,Aminosugars and aminoglycosides,Aminosugars
compound_phospatase_dataset 3,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)COP(=O)(O)O)O[C@@](O)(C(=O)O)C[C@@H]1O,Carbohydrates,Aminosugars and aminoglycosides,Aminosugars
compound_phospatase_dataset 4,CC(=O)OP(=O)(O)O,Fatty acids,Fatty Acids and Conjugates,
compound_phospatase_dataset 5,CC(C)(CO[P@](=O)(O)O[P@@](=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,Fatty acids,Fatty esters,Fatty acyl CoAs
compound_phospatase_dataset 6,C[C@@H](OP(=O)(O)O)[C@H](N)C(=O)O,Amino acids and Peptides,Small peptides,Aminoacids
compound_phospatase_dataset 7,C[N+](C)(C)CCOP(=O)(O)O,Fatty acids,,
compound_phospatase_dataset 8,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C,Alkaloids,,
compound_phospatase_dataset 9,Cc1cn([C@@H]2C[C@H](O)[C@@H](CO[P@@](=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O,Carbohydrates,Nucleosides,Pyrimidine nucleotides
compound_phospatase_dataset 10,Cc1cn([C@@H]2O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]c1=O,Carbohydrates,Nucleosides,Pyrimidine nucleotides
compound_phospatase_dataset 11,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O,Carbohydrates,Nucleosides,Pyrimidine nucleotides
compound_phospatase_dataset 12,Cc1cn([C@H]2C[C@H](O)[C@@H](CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O,Carbohydrates,Nucleosides,Pyrimidine nucleotides
