CHEBI_ID	ocurrences	remove
CHEBI:15377	46170	yes
CHEBI:15378	29538	yes
CHEBI:78442	13472	yes
CHEBI:140395	9840	no
CHEBI:58359	8141	no
CHEBI:15379	7508	yes
CHEBI:61557	5540	no
CHEBI:33019	5206	yes
CHEBI:29999	4554	no
CHEBI:37565	3953	no
CHEBI:30013	3804	no
CHEBI:57288	3712	yes
CHEBI:29991	3465	no
CHEBI:29985	3186	no
CHEBI:74269	3077	no
CHEBI:65315	2855	no
CHEBI:33384	2802	no
CHEBI:78520	2449	no
CHEBI:17499	2442	yes
CHEBI:74411	2428	no
CHEBI:58017	2088	no
CHEBI:82748	1851	no
CHEBI:46398	1797	no
CHEBI:57642	1789	no
CHEBI:57972	1733	no
CHEBI:29917	1618	yes
CHEBI:35235	1590	no
CHEBI:57287	1571	yes
CHEBI:57844	1564	no
CHEBI:58278	1451	no
CHEBI:61560	1404	no
CHEBI:57930	1389	no
CHEBI:78827	1386	no
CHEBI:58702	1339	no
CHEBI:57705	1308	no
CHEBI:57305	1245	no
CHEBI:29969	1234	no
CHEBI:175763	1176	no
CHEBI:173112	1155	no
CHEBI:132124	1136	no
CHEBI:67139	1128	no
CHEBI:58095	1114	no
CHEBI:46858	1067	no
CHEBI:78516	1045	no
CHEBI:57841	1038	no
CHEBI:16810	1028	no
CHEBI:37563	1025	no
CHEBI:59776	1025	no
CHEBI:16526	1006	yes
CHEBI:58866	1002	no
CHEBI:78494	997	no
CHEBI:57623	986	no
CHEBI:83145	981	no
CHEBI:57926	965	no
CHEBI:57595	940	no
CHEBI:57597	940	no
CHEBI:32551	929	no
CHEBI:32682	902	no
CHEBI:58475	893	no
CHEBI:128753	882	no
CHEBI:60039	873	no
CHEBI:16708	867	no
CHEBI:58053	859	no
CHEBI:173114	840	no
CHEBI:83421	789	no
CHEBI:195366	787	no
CHEBI:57643	783	no
CHEBI:73316	781	no
CHEBI:138191	780	no
CHEBI:17568	770	no
CHEBI:57427	765	no
CHEBI:61977	746	no
CHEBI:29950	745	no
CHEBI:16452	738	no
CHEBI:59918	732	no
CHEBI:60392	723	no
CHEBI:57701	714	no
CHEBI:58315	708	no
CHEBI:57870	698	no
CHEBI:78530	690	no
CHEBI:70757	681	no
CHEBI:57501	674	no
CHEBI:57416	673	no
CHEBI:57308	672	no
CHEBI:78809	662	no
CHEBI:57464	661	no
CHEBI:57792	658	no
CHEBI:57476	653	no
CHEBI:65314	650	no
CHEBI:58405	648	no
CHEBI:49256	642	no
CHEBI:29032	640	no
CHEBI:58435	638	no
CHEBI:61386	636	no
CHEBI:63528	622	no
CHEBI:57502	617	no
CHEBI:57776	614	no
CHEBI:74415	613	no
CHEBI:167181	611	no
CHEBI:57743	608	no
CHEBI:60377	605	no
CHEBI:58516	603	no
CHEBI:79333	600	no
CHEBI:57566	600	no
CHEBI:57292	597	no
CHEBI:149473	593	no
CHEBI:58394	589	no
CHEBI:58045	589	no
CHEBI:57823	587	no
CHEBI:64716	587	no
CHEBI:78449	585	no
CHEBI:49072	582	no
CHEBI:49258	582	no
CHEBI:57538	580	no
CHEBI:57865	579	no
CHEBI:16630	579	no
CHEBI:58274	578	no
CHEBI:58043	577	no
CHEBI:57966	576	no
CHEBI:15980	567	no
CHEBI:30011	562	no
CHEBI:61555	561	no
CHEBI:15740	548	no
CHEBI:32966	542	no
CHEBI:58885	541	no
CHEBI:77657	541	no
CHEBI:82833	536	no
CHEBI:147286	531	no
CHEBI:82620	528	no
CHEBI:57919	527	no
CHEBI:246422	524	no
CHEBI:61036	520	no
CHEBI:57856	515	no
CHEBI:29986	490	no
CHEBI:147287	489	no
CHEBI:57262	486	no
CHEBI:83898	485	no
CHEBI:90619	481	no
CHEBI:61481	478	no
CHEBI:58126	477	no
CHEBI:137981	476	no
CHEBI:49298	472	no
CHEBI:68483	472	no
CHEBI:78463	463	no
CHEBI:58273	461	no
CHEBI:58703	461	no
CHEBI:18421	455	no
CHEBI:45075	452	no
CHEBI:58342	448	no
CHEBI:58483	442	no
CHEBI:30864	433	no
CHEBI:11851	421	no
CHEBI:57328	408	no
CHEBI:61402	408	no
CHEBI:58613	407	no
CHEBI:61314	403	no
CHEBI:16845	403	no
CHEBI:17757	399	no
CHEBI:77846	399	no
CHEBI:57912	397	no
CHEBI:58087	395	no
CHEBI:55437	387	no
CHEBI:57384	383	no
CHEBI:57634	383	no
CHEBI:85986	381	no
CHEBI:74896	376	no
CHEBI:176343	375	no
CHEBI:17562	374	no
CHEBI:58057	372	no
CHEBI:131766	371	no
CHEBI:18277	366	no
CHEBI:58589	363	no
CHEBI:58451	362	no
CHEBI:59457	359	no
CHEBI:16389	359	no
CHEBI:58601	352	no
CHEBI:57762	352	no
CHEBI:62899	347	no
CHEBI:15589	347	no
CHEBI:73183	347	no
CHEBI:58296	346	no
CHEBI:62890	346	no
CHEBI:61963	345	no
CHEBI:83350	343	no
CHEBI:37568	342	no
CHEBI:58048	339	no
CHEBI:83143	334	no
CHEBI:90596	332	no
CHEBI:137740	331	no
CHEBI:35924	328	no
CHEBI:17792	328	no
CHEBI:58772	328	no
CHEBI:44120	327	no
CHEBI:60033	326	no
CHEBI:57693	323	no
CHEBI:173225	322	no
CHEBI:78435	320	no
CHEBI:17957	320	no
CHEBI:58437	317	no
CHEBI:49252	316	no
CHEBI:61382	316	no
CHEBI:17712	314	no
CHEBI:35121	305	no
CHEBI:64719	305	no
CHEBI:65249	305	no
CHEBI:29748	305	no
CHEBI:78846	304	no
CHEBI:64428	302	no
CHEBI:58533	294	no
CHEBI:17509	294	no
CHEBI:58195	288	no
CHEBI:71579	287	no
CHEBI:71261	287	no
CHEBI:58856	285	no
CHEBI:84166	285	no
CHEBI:64479	284	no
CHEBI:128769	279	no
CHEBI:456216	278	no
CHEBI:29780	278	no
CHEBI:4167	277	no
CHEBI:77893	276	no
CHEBI:36655	270	no
CHEBI:61930	269	no
CHEBI:17879	269	no
CHEBI:17359	263	no
CHEBI:57309	263	no
CHEBI:58690	261	no
CHEBI:57932	260	no
CHEBI:57279	259	no
CHEBI:176338	258	no
CHEBI:137748	258	no
CHEBI:13193	258	no
CHEBI:15642	258	no
CHEBI:149469	258	no
CHEBI:58121	256	no
CHEBI:17748	256	no
CHEBI:61548	254	no
CHEBI:84422	253	no
CHEBI:17368	252	no
CHEBI:58402	252	no
CHEBI:57918	251	no
CHEBI:77875	248	no
CHEBI:60487	247	no
CHEBI:33542	244	no
CHEBI:16704	244	no
CHEBI:16144	241	no
CHEBI:82795	237	no
CHEBI:17478	236	no
CHEBI:58243	235	no
CHEBI:58756	233	no
CHEBI:142491	232	no
CHEBI:83099	229	no
CHEBI:16335	227	no
CHEBI:90726	226	no
CHEBI:17855	226	no
CHEBI:57318	226	no
CHEBI:143788	225	no
CHEBI:57711	224	no
CHEBI:57805	223	no
CHEBI:78847	222	no
CHEBI:57699	220	no
CHEBI:58052	219	no
CHEBI:57483	218	no
CHEBI:17319	217	no
CHEBI:15890	205	no
CHEBI:58141	203	no
CHEBI:60204	200	no
CHEBI:61593	200	no
CHEBI:58828	198	no
CHEBI:58115	198	no
CHEBI:58548	198	no
CHEBI:139520	192	no
CHEBI:64721	191	no
CHEBI:64720	191	no
CHEBI:17815	189	no
CHEBI:57791	189	no
CHEBI:18107	189	no
CHEBI:83900	186	no
CHEBI:74454	183	no
CHEBI:60063	182	no
CHEBI:167617	182	no
CHEBI:33308	181	no
CHEBI:32544	179	no
CHEBI:78784	178	no
CHEBI:61527	173	no
CHEBI:57560	173	no
CHEBI:64837	171	no
