ID	NAME
CHEBI:2483	adenosylcobyric acid	
CHEBI:3789	cobalt-precorrin-6B	
CHEBI:3790	cobalt-precorrin-2	
CHEBI:3791	cobalt-precorrin-3	
CHEBI:3792	cobalt-precorrin-4	
CHEBI:3793	cobalt-precorrin-5	
CHEBI:3794	cobalt-precorrin-6A	
CHEBI:3795	cobalt-precorrin-8	
CHEBI:3796	cobamide	
CHEBI:15431	magnesium protoporphyrin	
CHEBI:16379	Co-methyl-Co-5-hydroxybenzimidazolylcob(III)amide	
CHEBI:16430	precorrin-4	
CHEBI:17926	hydrogenobyrinic acid	
CHEBI:22686	bacteriochlorophyll b	
CHEBI:23339	cobamic acid	
CHEBI:23345	cobyric acid	
CHEBI:23378	copper cation	
CHEBI:23388	coproporphyrin	
CHEBI:24040	flavin adenine dinucleotide	
CHEBI:24041	flavin mononucleotide	
CHEBI:24875	iron cation	
CHEBI:25111	magnesium porphyrin	
CHEBI:25216	metalloporphyrin	
CHEBI:25372	molybdopterin cofactor	
CHEBI:25516	nickel cation	
CHEBI:26213	porphyrinogen	
CHEBI:26214	porphyrins	
CHEBI:26228	precorrin	
CHEBI:26461	pyrroloquinoline cofactor	
CHEBI:27513	precorrin-6X	
CHEBI:27630	precorrin-5	
CHEBI:27711	precorrin-3B	
CHEBI:27858	precorrin-6Y	
CHEBI:27914	hydrogenobyrinic acid a,c-diamide	
CHEBI:28307	precorrin-3A	
CHEBI:28629	precorrin-8X	
CHEBI:28783	zinc protoporphyrin	
CHEBI:28966	chlorophyll	
CHEBI:29035	manganese(2+)	
CHEBI:29037	copper(3+)	
CHEBI:30033	bacteriochlorophyll a	
CHEBI:30034	(7R,8Z)-bacteriochlorophyll b	
CHEBI:30399	nickel(1+)	
CHEBI:30409	iron-sulfur-molybdenum cofactor	
CHEBI:30788	FADH(.)	
CHEBI:33002	vanadium(4+)	
CHEBI:33003	vanadium(5+)	
CHEBI:33004	vanadium(2+)	
CHEBI:33005	vanadium(1+)	
CHEBI:33222	corrole	
CHEBI:33906	cobalt corrinoid	
CHEBI:33907	cob(III)yrinic acid	
CHEBI:33908	cobinic acid	
CHEBI:33910	chlorins	
CHEBI:33913	corrinoid	
CHEBI:35104	strontium(2+)	
CHEBI:35169	dihydrogenvanadate	
CHEBI:35172	vanadium cation	
CHEBI:36079	polypeptide-derived cofactor	
CHEBI:36158	metalloprotoporphyrin	
CHEBI:36177	cytoporphyrin	
CHEBI:36303	chlorin	
CHEBI:36304	bacteriochlorin	
CHEBI:36321	porphyrinogens	
CHEBI:37136	barium(2+)	
CHEBI:38199	chlorophyll d	
CHEBI:38201	bacteriochlorophyll	
CHEBI:38206	chlorophyllide	
CHEBI:38209	chlorophyllide b	
CHEBI:45686	N(5)-sulfo-FADH2	
CHEBI:46045	L-topaquinone residue	
CHEBI:48568	cyanopseudocoenzyme B12	
CHEBI:48572	pseudocoenzyme B12	
CHEBI:48573	adenosylpseudocoenzyme B12	
CHEBI:48775	cadmium(2+)	
CHEBI:48782	cerium(3+)	
CHEBI:48828	cobalt(2+)	
CHEBI:49415	cobalt(3+)	
CHEBI:49701	lanthanum(3+)	
CHEBI:49807	lead(2+)	
CHEBI:49948	vanadium(3+)	
CHEBI:50528	FMNH(.)	
CHEBI:50997	4-methylideneimidazole-5-one cofactor	
CHEBI:51216	zinc porphyrin	
CHEBI:51701	meso-octamethylporphyrinogen	
CHEBI:52020	6-decylubiquinone	
CHEBI:52178	haloporphyrin	
CHEBI:52180	bromoporphyrin	
CHEBI:52181	beta-bromoporphyrin	
CHEBI:52182	meso-bromoporphyrin	
CHEBI:52183	octaethylporphyrin	
CHEBI:52184	2-bromoporphyrin	
CHEBI:52187	beta-substituted porphyrin	
CHEBI:52188	meso-substituted porphyrin	
CHEBI:52189	10-bromoporphyrin	
CHEBI:52190	borylporphyrin	
CHEBI:52192	diborylporphyrin	
CHEBI:52194	5,10-diborylporphyrin	
CHEBI:52196	monoborylporphyrin	
CHEBI:52197	5-borylporphyrin	
CHEBI:52198	meso-borylporphyrin	
CHEBI:52200	palladium porphyrin	
CHEBI:52203	beta-borylporphyrin	
CHEBI:52204	2-borylporphyrin	
CHEBI:52205	tetraborylporphyrin	
CHEBI:52207	5,10,15,20-tetraborylporphyrin	
CHEBI:52212	diporphyrin	
CHEBI:52213	beta-beta-diporphyrin	
CHEBI:52244	platinum porphyrin	
