seed,fold,f1_macro,precision,roc_auc,accuracy,mcc,recall,similarity
1,0,0.49121644017235666,0.36359175662414134,0.85911577501942,0.7523394643433365,0.3946612452886317,0.7568947906026557,20
2,0,0.39967940154955917,0.2706222865412446,0.7961231659053576,0.6374636979670861,0.27716376492331213,0.7640449438202247,20
3,0,0.4897560975609756,0.3592557251908397,0.8608193993777353,0.7468538238141336,0.394558587275943,0.7691521961184883,20
4,0,0.5058391725058392,0.37561942517343905,0.8646023281398348,0.7610519522426589,0.4146943424354073,0.7742594484167518,20
5,0,0.4377944028816847,0.30038022813688214,0.8351556278319121,0.6726363343013876,0.3352906609314499,0.8069458631256384,20
1,0,0.7182561307901907,0.9468390804597702,0.9169648076151187,0.8627190653212958,0.6680005190954119,0.5785776997366111,40
2,0,0.7316836487142164,0.8177874186550976,0.9114667598882812,0.8531598513011153,0.6388321056199296,0.6619841966637401,40
3,0,0.7963718820861678,0.8236397748592871,0.9238040300746653,0.8807753584705258,0.7129957349333004,0.7708516242317822,40
4,0,0.7849124382577458,0.8033088235294118,0.9188216645338658,0.8728093467870419,0.6950548131749078,0.7673397717295873,40
5,0,0.6956111373289288,0.7520408163265306,0.8899093729498457,0.8287307488050982,0.5805440508481808,0.6470588235294118,40
1,0,0.7622429353454653,0.7578699617534569,0.8920364766829565,0.8333851736651114,0.6340325589907032,0.7666666666666667,60
2,0,0.774944916587976,0.822311289245157,0.9109037722089632,0.8517366511145671,0.6674052888868512,0.7327380952380952,60
3,0,0.7686687125529739,0.7550961814527706,0.9076792107057619,0.8358735095904614,0.6418021145780644,0.7827380952380952,60
4,0,0.7632957612319415,0.8179652943177952,0.9028702125241503,0.8454121306376361,0.6524908926183486,0.7154761904761905,60
5,0,0.757171258165294,0.7240630092341119,0.8988157034890328,0.8227060653188181,0.6196207989574819,0.7934523809523809,60
1,0,0.7701283547257877,0.8151023288637967,0.9207473785069746,0.877607171385462,0.6890214997381128,0.7298578199052133,80
2,0,0.7883616210599238,0.8723648907627444,0.924135050616488,0.8915416703647822,0.7223971752923699,0.7191153238546604,80
3,0,0.7757972199509403,0.8040677966101695,0.9206509187948444,0.8783172095500134,0.6932448190380975,0.7494470774091627,80
4,0,0.7717217056748958,0.7832736739342662,0.9219331095670796,0.8736132067098606,0.684506917053461,0.7605055292259084,80
5,0,0.7693075898801598,0.8128737249384453,0.9123946147909572,0.8769858879914796,0.6876026260693071,0.730173775671406,80
