accuracy,f1_score,recall,precision,roc_auc,mcc,seed,similarity
0.9903846153846154,0.8571428571428571,1.0,0.75,1.0,0.8617274844321391,0,20
1.0,1.0,1.0,1.0,1.0,1.0,1,20
0.9903846153846154,0.8571428571428571,1.0,0.75,1.0,0.8617274844321391,2,20
1.0,1.0,1.0,1.0,1.0,1.0,3,20
1.0,1.0,1.0,1.0,1.0,1.0,4,20
0.48677248677248675,0.2706766917293233,0.15859030837004406,0.9230769230769231,0.8050004376112261,0.22336594826419964,0,60
0.4947089947089947,0.2899628252788104,0.17180616740088106,0.9285714285714286,0.8443270998045337,0.23679650570771413,1,60
0.5026455026455027,0.3088235294117647,0.18502202643171806,0.9333333333333333,0.8390174169268023,0.2497832885153024,2,60
0.4894179894179894,0.27715355805243447,0.16299559471365638,0.925,0.8405636432593284,0.2278965736865187,3,60
0.5026455026455027,0.29850746268656714,0.1762114537444934,0.975609756097561,0.8572803920996586,0.267111165251363,4,60
1.0,1.0,1.0,1.0,,0.0,0,80
1.0,1.0,1.0,1.0,,0.0,1,80
1.0,1.0,1.0,1.0,,0.0,2,80
1.0,1.0,1.0,1.0,,0.0,3,80
1.0,1.0,1.0,1.0,,0.0,4,80
