seed,fold,f1_macro,precision,roc_auc,accuracy,mcc,recall
0,0,0.8019098637475253,0.9230563002680965,0.914576663160767,0.8822592925866962,0.7328887563711675,0.7088737904056002
0,1,0.782066194353389,0.8692994828396803,0.9003470799784578,0.8604036846383094,0.6883661044846975,0.7107438016528925
0,2,0.8017033030268155,0.9129750982961992,0.9205065652222506,0.8836832511982717,0.7319600851919025,0.7146081247435372
0,3,0.8087012156110044,0.8348745046235139,0.9224719770625478,0.8776595744680851,0.7196702562342149,0.7841191066997518
0,4,0.7901771161577746,0.8331805682859762,0.9117136251910082,0.8672122129005639,0.695407498819722,0.7513949163050218
1,0,0.780205374699585,0.8310449150570165,0.9127794656047205,0.8607323319720357,0.6815661765913728,0.7352275066913733
1,1,0.7786556986686871,0.8912289395441031,0.9084307539580713,0.8614874017881333,0.6918046701816108,0.6913319238900634
1,2,0.7815246270181893,0.7785016286644951,0.9056163194584215,0.8556673192466077,0.6737762832535144,0.7845711940910957
1,3,0.8009757179288169,0.8634950992110925,0.9114273149115995,0.8775913802509547,0.7171713086488817,0.7468982630272953
1,4,0.7977293790546802,0.9077247561297126,0.9090465647673494,0.8799339843212763,0.7248392726770713,0.7115106426947716
2,0,0.8091792900746101,0.897217347706192,0.9146411347864889,0.8831591333840936,0.7334536416217684,0.7368746139592341
2,1,0.767708925525867,0.9398663697104677,0.8993165022319536,0.8616228664318613,0.6972729905140521,0.6488564289832789
2,2,0.7894184337602351,0.8082545141874462,0.9170574686960999,0.8645784108553298,0.6901043404631914,0.7714402954452195
2,3,0.7936541512427288,0.8122970339900412,0.9131687228771597,0.8669530823786143,0.6959561564662212,0.7758478081058726
2,4,0.80338067848339,0.9298913043478261,0.911788711207679,0.8848163938935497,0.7376187691900848,0.7071709030791485
3,0,0.7959733114830856,0.9224091155724362,0.9123736142518576,0.8793521146258739,0.7262604742123706,0.7000205888408483
3,1,0.7889056766673862,0.899581589958159,0.9127565692220199,0.8675155784340287,0.7057635502480155,0.7024793388429752
3,2,0.774839587789228,0.7363266814486327,0.9049686881524281,0.8436508472287855,0.6576972041382246,0.8176036109971276
3,3,0.8110647181628392,0.818929173693086,0.9245789994859475,0.8765684669939989,0.7194955917763537,0.8033498759305211
3,4,0.8071628427532177,0.88037109375,0.920230441125609,0.8815156099573649,0.7277300222673581,0.745195288282703
4,0,0.7908466819221968,0.8900334792686068,0.9156665513777454,0.8734685401813526,0.7107836676403525,0.711550339715874
4,1,0.7870012870012871,0.8903178840087358,0.9052713467765766,0.8654836087781089,0.7006508036154506,0.7051700941764367
4,2,0.7915925266903915,0.8642544924720739,0.9108260429654953,0.8734895024640519,0.70682738082332,0.730201066885515
4,3,0.810391442341601,0.938981204031599,0.922710687935047,0.8900027277686852,0.7488009834402122,0.7127791563275434
4,4,0.8167394803403082,0.9204457113241773,0.9110598944468018,0.8903864667858616,0.7495990249302064,0.7340359578425294
