Compound_Similarity,MCC,Accuracy,Precision,Recall,F1_Score,Enzyme_Identity
20.0,0.0322001088316251,0.6116317120333185,0.2042776080314273,0.3726114649681528,0.2638849732168029,
40.0,-0.1377884480581176,0.6022944550669216,0.0636942675159235,0.1408450704225352,0.087719298245614,
60.0,-0.4267319305203251,0.2801549409963066,0.1995490417136415,0.2908450704225352,0.2366988251026841,
80.0,-0.5100429354023922,0.2451346307651292,0.1516938519447929,0.2093869068236924,0.1759313154831199,
,-0.1579807149233862,0.3537521222410866,0.3292783166200888,0.7471092875792614,0.4570972158831584,80.0
,-0.1626109246391743,0.3404186587414394,0.2919331037875061,0.6937463471654004,0.4109399342219145,60.0
,-0.1967173649056315,0.3643953247992367,0.3525930384190992,0.695351137487636,0.4679179978700745,40.0
,-0.1646481172657689,0.3220956719817767,0.8290366350067843,0.309680689305626,0.4509225092250922,20.0
20.0,0.0322001088316251,0.6116317120333185,0.2042776080314273,0.3726114649681528,0.2638849732168029,
40.0,-0.1377884480581176,0.6022944550669216,0.0636942675159235,0.1408450704225352,0.087719298245614,
60.0,-0.4267319305203251,0.2801549409963066,0.1995490417136415,0.2908450704225352,0.2366988251026841,
80.0,-0.5100429354023922,0.2451346307651292,0.1516938519447929,0.2093869068236924,0.1759313154831199,
,-0.1579807149233862,0.3537521222410866,0.3292783166200888,0.7471092875792614,0.4570972158831584,80.0
,-0.1626109246391743,0.3404186587414394,0.2919331037875061,0.6937463471654004,0.4109399342219145,60.0
,-0.1967173649056315,0.3643953247992367,0.3525930384190992,0.695351137487636,0.4679179978700745,40.0
,-0.16464811726576892,0.32209567198177674,0.8290366350067843,0.309680689305626,0.45092250922509225,20.0
