Uniprot_ID,PDB_ID,nonpol_ID,chem_comp,smiles,inchikey,inchikey_skeleton,inchikey_stereochemistry
P00509,1AAM,1AAM_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P00509,1AHE,1AHE_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P00509,1AHF,1AHF_4,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q9KPM2,3N28,3N28_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q9X0Y1,3KBB,3KBB_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P76329,1XVI,1XVI_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q8A759,3R4C,3R4C_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
O58216,6Q7P,6Q7P_4,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P77366,4G9B,4G9B_4,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
C7RF86,4GXT,4GXT_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
O57991,2OM6,2OM6_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q4K5L5,3R09,3R09_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q7W0A9,3FVV,3FVV_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q51645,2NO4,2NO4_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q51645,2NO5,2NO5_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q5M5S4,3E58,3E58_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q9WZB9,1NF2,1NF2_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P16152,1WMA,1WMA_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P0A9Q7,6SCG,6SCG_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P06525,4RQT,4RQT_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P06525,8CON,8CON_4,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q28960,1N5D,1N5D_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P42937,3F4A,3F4A_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P0A9S5,5ZXL,5ZXL_4,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q9UUN9,1UJM,1UJM_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q9UUN9,1Y1P,1Y1P_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q9UUN9,1ZZE,1ZZE_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q03513,6HBB,6HBB_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P37957,3QZU,3QZU_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P37957,5CRI,5CRI_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q9I297,3U9R,3U9R_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q8RM04,5SVB,5SVB_6,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q8RM02,5SVB,5SVB_6,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q9LZX6,6VVI,6VVI_4,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P54317,2PVS,2PVS_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P9WP25,3L21,3L21_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P0ABD8,4HR7,4HR7_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q9KL03,4JLY,4JLY_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q9KL03,4NCZ,4NCZ_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P21549,2YOB,2YOB_4,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P50053,2HQQ,2HQQ_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P50053,2HW1,2HW1_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P50053,3NBV,3NBV_4,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q00955,3H0S,3H0S_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P16687,4XB6,4XB6_5,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
